dh_inicio,dh_termino,delta_tempo,Equipamento,Trunk,item_key
2018-08-31 14:01:05.0,2018-08-31 14:04:05.0,180,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-08-31 17:01:05.0,2018-08-31 17:04:05.0,180,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-08-31 19:41:05.0,2018-08-31 19:57:05.0,960,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-09-02 03:00:05.0,2018-09-02 03:25:12.0,1507,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-09-02 11:59:12.0,2018-09-02 12:21:12.0,1320,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-09-02 13:39:12.0,2018-09-02 13:51:35.0,743,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-09-02 15:03:12.0,2018-09-02 15:19:49.0,997,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-09-02 17:13:13.0,2018-09-02 17:50:41.0,2248,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-09-09 05:11:05.0,2018-09-09 05:13:53.0,168,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-09-09 05:18:05.0,2018-09-09 05:21:00.0,175,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-09-09 16:56:05.0,2018-09-09 17:07:05.0,660,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-09-11 19:21:17.0,2018-09-11 19:25:05.0,228,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-09-11 19:25:05.0,2018-09-11 19:28:05.0,180,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-09-11 19:33:13.0,2018-09-11 19:39:17.0,364,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-09-14 19:39:05.0,2018-09-14 19:43:05.0,240,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-09-15 00:55:05.0,2018-09-15 01:03:05.0,480,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-09-15 04:00:06.0,2018-09-15 04:03:05.0,179,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-09-15 06:00:05.0,2018-09-15 06:03:05.0,180,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-09-16 03:19:13.0,2018-09-16 03:23:05.0,232,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-09-16 06:58:06.0,2018-09-16 07:03:05.0,299,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-09-16 13:20:05.0,2018-09-16 13:23:05.0,180,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-09-20 10:17:13.0,2018-09-20 10:23:06.0,353,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-09-20 10:32:05.0,2018-09-20 10:34:54.0,169,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-09-20 10:41:31.0,2018-09-20 10:47:29.0,358,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-09-20 10:53:05.0,2018-09-20 10:59:06.0,361,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-09-20 11:01:05.0,2018-09-20 11:04:00.0,175,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-09-26 11:12:05.0,2018-09-26 11:18:06.0,361,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0003],
