dh_inicio,dh_termino,delta_tempo,Equipamento,Trunk,item_key
2018-09-02 03:00:06.0,2018-09-02 03:24:41.0,1475,PROMGUA_SWL3_proxy05,Trunk321,
2018-09-06 18:36:07.0,2018-09-06 18:40:03.0,236,PROMGUA_SWL3_proxy05,Trunk321,
2018-09-20 05:32:03.0,2018-09-20 05:35:14.0,191,PROMGUA_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-20 05:35:14.0,2018-09-20 05:38:48.0,214,PROMGUA_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-20 05:54:02.0,2018-09-20 06:09:03.0,901,PROMGUA_SWL3_proxy05,Trunk321,
2018-09-20 06:16:33.0,2018-09-20 06:19:03.0,150,PROMGUA_SWL3_proxy05,Trunk321,
2018-09-23 07:54:36.0,2018-09-23 07:57:08.0,152,PROMGUA_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-23 08:50:16.0,2018-09-23 08:52:47.0,151,PROMGUA_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-23 09:44:08.0,2018-09-23 09:46:41.0,153,PROMGUA_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-23 09:52:08.0,2018-09-23 09:55:03.0,175,PROMGUA_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-23 09:58:16.0,2018-09-23 10:01:36.0,200,PROMGUA_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-23 10:38:55.0,2018-09-23 10:41:55.0,180,PROMGUA_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-23 10:53:16.0,2018-09-23 10:55:47.0,151,PROMGUA_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-23 11:08:16.0,2018-09-23 11:11:16.0,180,PROMGUA_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-23 11:38:16.0,2018-09-23 11:40:48.0,152,PROMGUA_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-23 11:50:08.0,2018-09-23 11:52:47.0,159,PROMGUA_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-23 11:58:08.0,2018-09-23 12:00:54.0,166,PROMGUA_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-23 12:39:08.0,2018-09-23 12:42:02.0,174,PROMGUA_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-23 13:07:08.0,2018-09-23 13:09:39.0,151,PROMGUA_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-23 13:14:08.0,2018-09-23 13:16:46.0,158,PROMGUA_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-23 14:33:08.0,2018-09-23 14:35:52.0,164,PROMGUA_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-23 15:39:07.0,2018-09-23 15:43:50.0,283,PROMGUA_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-23 16:26:11.0,2018-09-23 16:28:52.0,161,PROMGUA_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-24 20:40:07.0,2018-09-24 20:42:55.0,168,PROMGUA_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-24 23:01:07.0,2018-09-24 23:03:39.0,152,PROMGUA_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-24 23:13:16.0,2018-09-24 23:15:46.0,150,PROMGUA_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-24 23:28:55.0,2018-09-24 23:31:52.0,177,PROMGUA_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-25 01:05:08.0,2018-09-25 01:08:09.0,181,PROMGUA_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-25 01:20:08.0,2018-09-25 01:23:10.0,182,PROMGUA_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-25 02:29:08.0,2018-09-25 02:31:59.0,171,PROMGUA_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-25 02:34:09.0,2018-09-25 02:36:57.0,168,PROMGUA_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-25 02:41:12.0,2018-09-25 02:44:16.0,184,PROMGUA_SWL3,ifOperStatus[Trunk Port ID 0001],
