dh_inicio,dh_termino,delta_tempo,Equipamento,Trunk,item_key
2018-09-02 02:59:51.0,2018-09-02 03:24:29.0,1478,MSOMIGT_SWL3_proxy05,Trunk321,
2018-09-06 18:35:51.0,2018-09-06 18:39:51.0,240,MSOMIGT_SWL3_proxy05,Trunk321,
2018-09-20 05:35:32.0,2018-09-20 05:38:23.0,171,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-20 05:53:59.0,2018-09-20 06:09:21.0,922,MSOMIGT_SWL3_proxy05,Trunk321,
2018-09-20 06:16:23.0,2018-09-20 06:19:21.0,178,MSOMIGT_SWL3_proxy05,Trunk321,
2018-09-23 10:27:23.0,2018-09-23 10:31:23.0,240,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-23 10:50:32.0,2018-09-23 10:53:02.0,150,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-23 11:06:29.0,2018-09-23 11:09:06.0,157,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-23 11:20:32.0,2018-09-23 11:23:10.0,158,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-23 13:08:42.0,2018-09-23 13:11:15.0,153,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-23 13:25:36.0,2018-09-23 13:28:32.0,176,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-23 16:46:05.0,2018-09-23 16:49:19.0,194,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-24 23:09:24.0,2018-09-24 23:12:22.0,178,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-24 23:12:23.0,2018-09-24 23:15:23.0,180,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-24 23:20:46.0,2018-09-24 23:24:37.0,231,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-24 23:29:31.0,2018-09-24 23:32:02.0,151,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-24 23:36:10.0,2018-09-24 23:39:29.0,199,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0001],
