dh_inicio,dh_termino,tempo_periodo,tempo_opersts_nOk,delta_value,is_periodo
2018-08-30 20:15:23.0,2018-08-30 20:19:23.0,240,,4,1
2018-09-20 15:23:21.0,2018-09-20 15:26:21.0,180,,4,1
2018-09-20 15:33:21.0,2018-09-20 15:34:21.0,60,,4,1
2018-09-21 16:26:21.0,2018-09-21 21:24:21.0,17880,,4,1
2018-09-23 22:57:21.0,2018-09-23 22:58:21.0,60,,4,1
2018-09-24 00:49:21.0,2018-09-24 00:50:21.0,60,,4,1
2018-09-25 07:20:23.0,2018-09-25 07:21:21.0,58,,4,1
2018-09-26 20:29:20.0,2018-09-26 20:30:21.0,61,,4,1
2018-09-26 20:42:21.0,2018-09-26 20:43:21.0,60,,4,1
2018-09-26 20:57:21.0,2018-09-26 20:58:20.0,59,,4,1
2018-09-28 16:37:20.0,2018-09-28 16:38:21.0,61,,4,1
2018-09-28 17:28:20.0,2018-09-28 17:29:20.0,60,,4,1
2018-09-28 18:06:21.0,2018-09-28 18:07:21.0,60,,4,1
2018-09-28 18:16:21.0,2018-09-28 18:17:20.0,59,,4,1
2018-09-28 18:28:20.0,2018-09-28 18:29:20.0,60,,4,1
2018-09-28 18:44:20.0,2018-09-28 18:45:20.0,60,,4,1
2018-09-28 18:47:20.0,2018-09-28 18:48:20.0,60,,4,1
2018-09-28 18:59:21.0,2018-09-28 19:00:21.0,60,,4,1
2018-09-28 19:01:20.0,2018-09-28 19:02:20.0,60,,4,1
2018-09-28 19:13:20.0,2018-09-28 19:14:20.0,60,,4,1
2018-09-28 19:16:20.0,2018-09-28 19:18:20.0,120,,4,1
2018-09-28 19:19:20.0,2018-09-28 19:21:21.0,121,,4,1
2018-09-28 21:36:21.0,2018-09-28 21:37:20.0,59,,4,1
