dh_inicio,dh_termino,delta_tempo,Equipamento,Trunk,item_key
2018-09-02 02:59:22.0,2018-09-02 03:24:30.0,1508,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-09-02 03:49:34.0,2018-09-02 03:53:30.0,236,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-09-02 03:53:30.0,2018-09-02 03:59:30.0,360,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-09-02 11:59:30.0,2018-09-02 12:21:30.0,1320,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-09-19 19:01:21.0,2018-09-19 19:05:35.0,254,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-09-20 07:31:21.0,2018-09-20 07:39:21.0,480,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-09-20 08:39:21.0,2018-09-20 08:50:40.0,679,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-09-20 19:22:21.0,2018-09-20 19:24:51.0,150,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-09-20 19:25:22.0,2018-09-20 19:28:17.0,175,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-09-26 17:01:20.0,2018-09-26 17:19:39.0,1099,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-09-26 19:10:21.0,2018-09-26 19:15:20.0,299,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-10-02 17:49:22.0,2018-10-02 18:01:49.0,747,MSRPMMA_SWL3,ifOperStatus[Trunk Port ID 0003],
