dh_inicio,dh_termino,delta_tempo,Equipamento,Trunk,item_key
2018-09-02 02:59:53.0,2018-09-02 03:24:26.0,1473,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-06 18:35:53.0,2018-09-06 18:39:53.0,240,MSRPTCU_SWL3_proxy05,Trunk321,
2018-09-20 05:53:52.0,2018-09-20 06:09:23.0,931,MSRPTCU_SWL3_proxy05,Trunk321,
2018-09-20 06:16:23.0,2018-09-20 06:19:23.0,180,MSRPTCU_SWL3_proxy05,Trunk321,
2018-09-23 09:47:19.0,2018-09-23 09:49:58.0,159,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-23 11:45:19.0,2018-09-23 11:48:08.0,169,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-23 12:04:19.0,2018-09-23 12:06:56.0,157,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-23 12:30:36.0,2018-09-23 12:33:16.0,160,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-23 13:04:20.0,2018-09-23 13:07:04.0,164,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-23 14:14:19.0,2018-09-23 14:16:59.0,160,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-23 14:52:20.0,2018-09-23 14:55:02.0,162,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-24 23:10:19.0,2018-09-24 23:13:13.0,174,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-24 23:14:19.0,2018-09-24 23:17:11.0,172,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-24 23:40:20.0,2018-09-24 23:43:06.0,166,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-25 01:06:25.0,2018-09-25 01:09:33.0,188,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-25 01:18:51.0,2018-09-25 01:22:50.0,239,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-25 02:25:20.0,2018-09-25 02:27:58.0,158,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-25 02:38:40.0,2018-09-25 02:41:21.0,161,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-25 02:41:21.0,2018-09-25 02:45:19.0,238,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-25 03:23:31.0,2018-09-25 03:27:25.0,234,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-25 03:29:20.0,2018-09-25 03:31:58.0,158,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-25 03:38:31.0,2018-09-25 03:41:19.0,168,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-25 03:41:19.0,2018-09-25 03:44:07.0,168,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-25 03:46:15.0,2018-09-25 03:49:03.0,168,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-25 04:59:20.0,2018-09-25 05:02:03.0,163,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-25 05:04:19.0,2018-09-25 05:06:49.0,150,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-25 05:23:32.0,2018-09-25 05:26:20.0,168,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-25 05:49:20.0,2018-09-25 05:52:31.0,191,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-25 06:36:27.0,2018-09-25 06:39:42.0,195,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-25 08:44:20.0,2018-09-25 08:47:00.0,160,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-25 08:59:19.0,2018-09-25 09:01:59.0,160,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-25 09:04:19.0,2018-09-25 09:06:57.0,158,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-26 05:16:19.0,2018-09-26 05:20:11.0,232,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-26 07:08:28.0,2018-09-26 07:11:06.0,158,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0001],
