dh_inicio,dh_termino,delta_tempo,Equipamento,Trunk,item_key
2018-08-31 19:41:05.0,2018-08-31 19:57:05.0,960,MSRPTRN_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-02 03:00:05.0,2018-09-02 03:25:12.0,1507,MSRPTRN_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-02 11:59:12.0,2018-09-02 13:21:12.0,4920,MSRPTRN_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-02 13:39:12.0,2018-09-02 13:52:26.0,794,MSRPTRN_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-02 15:03:13.0,2018-09-02 15:19:15.0,962,MSRPTRN_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-02 17:13:13.0,2018-09-02 17:50:52.0,2259,MSRPTRN_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-09 05:18:05.0,2018-09-09 05:21:10.0,185,MSRPTRN_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-09 16:56:05.0,2018-09-09 17:06:09.0,604,MSRPTRN_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-11 19:22:14.0,2018-09-11 19:26:20.0,246,MSRPTRN_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-11 19:27:13.0,2018-09-11 19:32:05.0,292,MSRPTRN_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-11 19:33:13.0,2018-09-11 19:37:12.0,239,MSRPTRN_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-14 19:39:06.0,2018-09-14 19:43:05.0,239,MSRPTRN_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-15 00:55:05.0,2018-09-15 01:03:05.0,480,MSRPTRN_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-15 04:00:06.0,2018-09-15 04:03:06.0,180,MSRPTRN_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-15 06:00:06.0,2018-09-15 06:03:06.0,180,MSRPTRN_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-16 03:19:13.0,2018-09-16 03:23:05.0,232,MSRPTRN_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-16 06:58:05.0,2018-09-16 07:03:05.0,300,MSRPTRN_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-16 13:20:06.0,2018-09-16 13:23:05.0,179,MSRPTRN_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-16 19:20:05.0,2018-09-16 19:23:25.0,200,MSRPTRN_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-20 10:17:13.0,2018-09-20 10:22:22.0,309,MSRPTRN_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-20 10:28:05.0,2018-09-20 10:30:35.0,150,MSRPTRN_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-20 10:32:05.0,2018-09-20 10:35:02.0,177,MSRPTRN_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-20 10:39:06.0,2018-09-20 10:41:48.0,162,MSRPTRN_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-20 10:41:48.0,2018-09-20 10:47:32.0,344,MSRPTRN_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-20 10:47:32.0,2018-09-20 10:50:49.0,197,MSRPTRN_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-20 10:52:05.0,2018-09-20 10:59:06.0,421,MSRPTRN_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-20 11:01:05.0,2018-09-20 11:04:01.0,176,MSRPTRN_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-22 21:54:06.0,2018-09-22 21:58:14.0,248,MSRPTRN_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-22 22:08:06.0,2018-09-22 22:11:06.0,180,MSRPTRN_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-24 10:03:06.0,2018-09-24 10:13:04.0,598,MSRPTRN_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-26 05:16:06.0,2018-09-26 05:19:06.0,180,MSRPTRN_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-09-26 11:15:06.0,2018-09-26 11:19:06.0,240,MSRPTRN_SWL3,ifOperStatus[Trunk Port ID 0001],
