dh_inicio,dh_termino,ID,chamados,localidade_id
2018-09-28 16:54:09,2018-09-28 17:02:09,1721,MSRPMMA,MSRPMMA_1721
2018-09-28 16:54:09,2018-09-28 17:02:09,1721,MSOMJRD,MSOMJRD_1721
2018-09-24 10:12:39,2018-09-24 10:33:21,1720,MSRPNVL,MSRPNVL_1720
2018-09-24 10:12:39,2018-09-24 10:33:21,1720,MSOMCGR,MSOMCGR_1720
2018-09-21 16:58:00,2018-09-21 21:24:00,1719,MSRPMMA,MSRPMMA_1719
2018-09-21 16:58:00,2018-09-21 21:24:00,1719,MSRPJRD,MSRPJRD_1719
2018-09-02 02:30:00,2018-09-02 03:30:00,1692,MSOMCGR,MSOMCGR_1692
2018-09-02 02:30:00,2018-09-02 03:30:00,1692,MSOMRCB,MSOMRCB_1692
2018-09-02 02:30:00,2018-09-02 03:30:00,1692,MSRPCGR,MSRPCGR_1692
2018-09-02 02:30:00,2018-09-02 03:30:00,1692,MSRPNAS1,MSRPNAS1_1692
2018-09-02 02:30:00,2018-09-02 03:30:00,1692,MSRPNAS,MSRPNAS_1692
2018-09-02 02:30:00,2018-09-02 03:30:00,1692,MSRPDOU,MSRPDOU_1692
2018-09-02 02:30:00,2018-09-02 03:30:00,1692,MSOMDOU,MSOMDOU_1692
2018-09-02 02:30:00,2018-09-02 03:30:00,1692,MSRPPPR,MSRPPPR_1692
2018-09-02 02:30:00,2018-09-02 03:30:00,1692,MSOMCCL,MSOMCCL_1692
2018-09-02 02:30:00,2018-09-02 03:30:00,1692,MSRPATJ,MSRPATJ_1692
2018-09-02 02:30:00,2018-09-02 03:30:00,1692,MSOMBLV,MSOMBLV_1692
2018-09-02 02:30:00,2018-09-02 03:30:00,1692,MSRPMMA,MSRPMMA_1692
2018-09-02 02:30:00,2018-09-02 03:30:00,1692,MSOMCARC,MSOMCARC_1692
2018-09-02 02:30:00,2018-09-02 03:30:00,1692,MSOMJRD,MSOMJRD_1692
2018-09-02 02:30:00,2018-09-02 03:30:00,1692,MSRPNOQ,MSRPNOQ_1692
2018-09-02 02:30:00,2018-09-02 03:30:00,1692,MSOMNOQ,MSOMNOQ_1692
2018-09-02 02:30:00,2018-09-02 03:30:00,1692,MSRPSPE,MSRPSPE_1692
2018-09-02 02:30:00,2018-09-02 03:30:00,1692,MSRPMPX,MSRPMPX_1692
2018-09-02 02:30:00,2018-09-02 03:30:00,1692,MSRPFDI,MSRPFDI_1692
