time_ini,time_end,duration_seg,duration_percent,RPCGR_SColTempo_0001_delta_tempo,OMCCL_nOK_0001,RPAMO1_SColTempo_0003_delta_tempo,localidade_id_MSOMCARC_1482,RPDOU_SColTempo_0001_delta_tempo,ref_2018_09_23,OMCCL_SColTempo_0001_delta_tempo,RPDOU_SColTempo_0002_delta_tempo,localidade_id_MSRPRBR_1128,chamados_MSRPTCU,chamados_MSOMRCB,chamados_MSRPAMB,localidade_id_MSRPNOQ_1526,localidade_id_MSRPAMO_1692,chamados_MSRPAMO,ref_2018_09_11,ref_Periodo,RPFDIxRPMPX_ativado,ref_2018_09_30,localidade_id_MSRPAMB_1692,localidade_id_MSRPMPX_1692,OMCGR_SColTempo_0003_delta_tempo,chamados_MSOMCGR,localidade_id_MSOMJRD_1245,OMCCLxRPATJ_ativado,localidade_id_MSRPTCU_1166,RPNAS_SColTempo_0002_delta_tempo,localidade_id_MSOMCCL_1692,localidade_id_MSOMCGR_1692,OMGUA_SColTempo_0001_delta_tempo,RPPPR_SColTempo_0004_delta_tempo,ref_2018_09,ref_2018_08,OMCGR_SColTempo_0001_delta_tempo,chamados_MSOMJRD,localidade_id_MSRPNVL_1720,RPAMB_nOK_0001,localidade_id_MSRPTRN_1692,ref_2018_08_30,ref_2018_08_31,localidade_id_MSRPPPR_1692,RPMPX_nOK_0002,chamados_MSRPMMA,chamados_MSRPJRD,RPCGR_nOK_0001,localidade_id_MSOMCGR_559,OMJRDxRPJRD_ativado,OMBLV_nOK_0001,localidade_id_MSOMMNO_1692,ref_2018_09_01,ref_2018_09_02,ref_2018_09_03,ref_2018_09_04,ref_2018_09_05,ref_2018_09_06,localidade_id_MSRPMMA_1106,chamados_MSRPDOU,RPMMA_SColTempo_0003_delta_tempo,localidade_id_MSOMJRD_1692,OMBLV_SColTempo_0001_delta_tempo,RPAMBxRPTCU_ativado,ref_2018_10,RPJRD_nOK_0001,OMRCB_SColTempo_0003_delta_tempo,localidade_id_MSRPMPX_1542,localidade_id_MSRPTCU_1371,localidade_id_MSRPMMA_1692,ref_2018_08_25,RPTRN_SColTempo_0001_delta_tempo,ref_2018_08_27,localidade_id_MSRPMPX_1034,RPJRD_SColTempo_0002_delta_tempo,chamados_MSOMNOQ,chamados_MSRPPPR,ref_2018_08_29,ref_2018_08_28,ref_2018_09_17,localidade_id_MSOMBLV_1692,ref_2018_09_15,RPAMB_SColTempo_0002_delta_tempo,ref_2018_09_13,ref_2018_09_12,RPNASxRPRBR_ativado,ref_2018_09_10,RPPPR_nOK_0002,RPPPR_nOK_0003,localidade_id_MSOMJRD_1721,localidade_id_MSOMJRD_1459,RPPPR_nOK_0004,ref_2018_09_18,localidade_id_MSRPATJ_1692,localidade_id_MSRPNAS_1692,localidade_id_MSOMBLV_1372,RPNOQ_SColTempo_0002_delta_tempo,localidade_id_MSRPTCU_468,OMCGR_nOK_0002,OMBLV_SColTempo_0002_delta_tempo,RPPPR_SColTempo_0001_delta_tempo,chamados_MSRPMPX,RPRBR_SColTempo_0002_delta_tempo,OMJRD_SColTempo_0002_delta_tempo,localidade_id_Savis_1520,OMCGRxRPCGR_ativado,RPPPRxOMCCL_ativado,RPATJ_SColTempo_0002_delta_tempo,RPAMO_SColTempo_0002_delta_tempo,localidade_id_MSRPNVL_1692,RPNVL_SColTempo_0002_delta_tempo,localidade_id_MSRPNAS1_1692,RPDOUxOMDOU_ativado,RPMMAxOMCARC_ativado,RPMPXxRPMRD_ativado,RPTRNxRPFDI_ativado,chamados_MSRPRBR,localidade_id_MSRPMMA_1721,RPFDI_SColTempo_0001_delta_tempo,RPNAS_SColTempo_0001_delta_tempo,chamados_MSOMDOU,localidade_id_MSRPTCU_570,localidade_id_MSRPSPE_1692,Chamados_Desconto,ref_2018_09_08,localidade_id_MSRPDOU_1692,localidade_id_MSRPMPX_1042,RPFDI_SColTempo_0002_delta_tempo,RPAMOxRPAMB_ativado,localidade_id_Savis_1531,chamados_MSOMBLV,RPAMB_SColTempo_0001_delta_tempo,OMMNO_SColTempo_0001_delta_tempo,chamados_MSOMCCL,OMCGR_SColTempo_0002_delta_tempo,chamados_MSOMIGT,RPTCUxOMIGT_ativado,RPMPX_SColTempo_0002_delta_tempo,localidade_id_MSOMCGR_1417,RPPPRxOMPPR_ativado,ref_2018_09_26,localidade_id_MSOMNOQ_1692,ref_2018_08_26,RPTCU_nOK_0001,OMMNOxOMGUA_ativado,RPNAS1xRPNAS_ativado,localidade_id_MSRPPPR_1251,RPMMA_SColTempo_0001_delta_tempo,localidade_id_MSRPTCU_1692,ref_2018_09_25,RPRBRxRPDOU_ativado,localidade_id_MSRPNAS_1433,OMCGRxOMRCB_ativado,ref_2018_10_01,OMIGT_SColTempo_0002_delta_tempo,localidade_id_MSOMRCB_1692,RPNVLxRPBND_ativado,RPMMA_SColTempo_0002_delta_tempo,RPSPE_SColTempo_0002_delta_tempo,OMCARC_SColTempo_0003_delta_tempo,RPCGRxRPNAS1_ativado,RPNOQxOMNOQ_ativado,ref_2018_09_20,localidade_id_Savis_1509,OMDOU_SColTempo_0002_delta_tempo,chamados_Savis,chamados_MSRPNOQ,OMAMB_SColTempo_0001_delta_tempo,RPMMA_nOK_0002,RPAMO_nOK_0002,localidade_id_MSOMCGR_1720,chamados_MSRPAMO1,OMMNO_SColTempo_0002_delta_tempo,chamados_MSRPTRN,RPPPR_SColTempo_0002_delta_tempo,OMBLV_nOK_0002,localidade_id_MSRPMMA_1719,RPTRN_SColTempo_0002_delta_tempo,OMDOU_SColTempo_0001_delta_tempo,ref_2018_09_16,chamados_PROMGUA,ref_2018_09_07,localidade_id_MSRPAMO1_1692,RPTCU_SColTempo_0003_delta_tempo,ref_2018_09_14,RPMRDxRPFGR_ativado,chamados_MSRPCGR,localidade_id_MSOMMNO_1276,ref_2018_10_03,RPNOQ_SColTempo_0001_delta_tempo,OMCCL_SColTempo_0004_delta_tempo,chamados_MSRPNAS1,RPSPE_SColTempo_0001_delta_tempo,chamados_MSRPSPE,RPAMB_SColTempo_0003_delta_tempo,OMIGT_SColTempo_0001_delta_tempo,RPNAS1_nOK_0002,localidade_id_MSRPFDI_1692,chamados_MSOMCARC,RPTCU_SColTempo_0001_delta_tempo,localidade_id_MSOMDOU_1692,RPNAS1_SColTempo_0001_delta_tempo,RPAMO1_nOK_0001,chamados_MSOMMNO,ref_2018_10_02,chamados_MSRPATJ,RPAMO_SColTempo_0001_delta_tempo,RPNOQ_SColTempo_0003_delta_tempo,RPATJ_SColTempo_0001_delta_tempo,OMDOUxRPPPR_ativado,RPAMO1_SColTempo_0001_delta_tempo,RPAMBxOMAMB_ativado,OMPPR_SColTempo_0002_delta_tempo,RPMPX_nOK_0003,OMIGTxOMMNO_ativado,localidade_id_MSRPJRD_1719,ref_2018_09_19,RPMPX_SColTempo_0001_delta_tempo,chamados_MSRPFDI,localidade_id_MSRPNVL_1543,OMCGRxRPNVL_ativado,localidade_id_PROMGUA_1692,localidade_id_MSRPCGR_1692,RPJRD_nOK_0002,ref_2018_09_09,RPMMAxOMBLV_ativado,RPNVLxRPTRN_ativado,chamados_MSRPNVL,RPCGR_SColTempo_0002_delta_tempo,localidade_id_MSOMIGT_1692,RPMRDxOMAQD_ativado,ref_2018_09_28,ref_2018_09_29,RPPPR_SColTempo_0003_delta_tempo,ref_2018_09_27,ref_2018_09_24,localidade_id_MSOMCARC_1692,ref_2018_09_22,RPMPXxRPSPE_ativado,RPRBR_SColTempo_0001_delta_tempo,ref_2018_09_21,RPJRDxRPMMA_ativado,RPNVL_SColTempo_0001_delta_tempo,RPNOQxOMJRD_ativado,chamados_MSRPNAS,RPPPRxRPAMO1_ativado,RPAMO1xRPAMO_ativado,RPATJxOMBLV_ativado,localidade_id_MSRPNOQ_1692,localidade_id_MSRPRBR_1265,RPATJ_nOK_0002,OMCCL_nOK_0004,RPSPExRPNOQ_ativado,localidade_id_MSRPMMA_1471,OMNOQ_SColTempo_0003_delta_tempo
"2017-09-09 07:12:00","2017-09-09 07:30:00",1080.0,2.77130811337E-05, , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
"2017-09-29 02:36:30","2017-10-01 17:27:30",226260.0,0.00580589049751, , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
"2017-10-01 17:27:30","2017-10-03 20:24:30",183420.0,0.00470660494587, , , , , , , , , ,1, , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
"2017-10-03 20:24:30","2017-10-06 11:28:16",227026.0,0.0058255462569, , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
"2018-01-24 12:41:00","2018-01-24 15:48:30",11250.0,0.000288677928476, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
"2018-01-25 11:20:00","2018-01-25 16:51:33",19893.0,0.000510459558326, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , ,1, , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
"2018-02-05 17:46:00","2018-02-05 20:38:55",10375.0,0.000266225200706, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
"2018-02-09 10:01:00","2018-02-09 13:54:20",14000.0,0.000359243644326, , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
"2018-02-23 10:54:00","2018-02-23 15:15:22",15682.0,0.000402404202165, , , , , , , , , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
"2018-03-18 11:51:13","2018-03-18 15:56:02",14689.0,0.000376923563678, , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
"2018-03-19 19:17:30","2018-03-19 19:42:15",1485.0,3.81054865588E-05, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
"2018-03-22 17:26:00","2018-03-23 17:33:21",86841.0,0.00222836266549, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , 
"2018-03-26 12:39:00","2018-03-28 18:01:20",192140.0,0.00493036241577, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
