dh_inicio,dh_termino,tempo_periodo,tempo_opersts_nOk,delta_value,is_periodo
2019-01-10 12:31:27.0,2019-01-10 12:32:27.0,60,,4,1
2019-01-10 14:58:27.0,2019-01-10 14:59:27.0,60,,4,1
2019-01-11 06:02:26.0,2019-01-11 06:03:27.0,61,,4,1
2019-01-11 07:09:26.0,2019-01-11 07:11:27.0,121,,4,1
2019-01-11 16:16:26.0,2019-01-11 16:17:26.0,60,,4,1
2019-01-11 17:30:27.0,2019-01-11 17:31:27.0,60,,4,1
2019-01-11 17:35:27.0,2019-01-11 17:36:27.0,60,,4,1
2019-01-11 17:41:26.0,2019-01-11 17:42:27.0,61,,4,1
2019-01-11 17:48:26.0,2019-01-11 17:49:26.0,60,,4,1
2019-01-12 21:58:27.0,2019-01-12 21:59:26.0,59,,4,1
2019-01-13 04:56:26.0,2019-01-13 04:57:26.0,60,,4,1
2019-01-14 12:08:26.0,2019-01-14 12:09:26.0,60,,4,1
2019-01-14 12:56:26.0,2019-01-14 12:57:27.0,61,,4,1
2019-01-17 04:56:23.0,2019-01-17 04:57:23.0,60,,4,1
2019-01-24 08:35:16.0,2019-01-24 08:36:16.0,60,,4,1
2019-01-24 15:10:16.0,2019-01-24 15:11:16.0,60,,4,1
2019-01-25 02:56:16.0,2019-01-25 02:57:16.0,60,,4,1
