dh_inicio,dh_termino,delta_tempo,Equipamento,Trunk,item_key
2018-06-25 08:50:38.0,2018-06-25 08:53:36.0,178,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-06-25 08:53:36.0,2018-06-25 08:58:52.0,316,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-06-27 02:12:02.0,2018-06-27 02:14:55.0,173,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-06-28 08:09:02.0,2018-06-28 08:13:22.0,260,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-06-30 01:00:02.0,2018-06-30 01:22:53.0,1371,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-06-30 16:38:52.0,2018-06-30 18:03:52.0,5100,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-07-05 19:11:02.0,2018-07-05 19:14:02.0,180,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-07-07 01:00:02.0,2018-07-07 01:23:07.0,1385,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-07-19 14:13:34.0,2018-07-19 14:21:15.0,461,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-07-19 14:21:15.0,2018-07-19 14:25:36.0,261,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-07-19 15:51:09.0,2018-07-19 15:55:53.0,284,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-07-19 16:55:09.0,2018-07-19 16:58:22.0,193,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-07-22 03:27:09.0,2018-07-22 03:30:21.0,192,MSOMCGR_SWL3,ifOperStatus[Trunk Port ID 0002],
