dh_inicio,dh_termino,delta_tempo,Equipamento,Trunk,item_key
2018-06-25 08:53:34.0,2018-06-25 09:02:10.0,516,MSRPCGR_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-06-26 08:54:09.0,2018-06-26 08:56:39.0,150,MSRPCGR_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-06-27 02:11:33.0,2018-06-27 02:14:31.0,178,MSRPCGR_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-06-27 02:16:34.0,2018-06-27 02:19:49.0,195,MSRPCGR_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-06-29 05:02:34.0,2018-06-29 05:05:56.0,202,MSRPCGR_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-06-30 00:59:34.0,2018-06-30 01:22:25.0,1371,MSRPCGR_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-06-30 16:39:25.0,2018-06-30 18:04:24.0,5099,MSRPCGR_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-07-05 09:39:34.0,2018-07-05 09:42:34.0,180,MSRPCGR_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-07-05 19:10:34.0,2018-07-05 19:14:34.0,240,MSRPCGR_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-07-07 00:59:35.0,2018-07-07 01:22:40.0,1385,MSRPCGR_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-07-19 14:19:41.0,2018-07-19 14:24:20.0,279,MSRPCGR_SWL3,ifOperStatus[Trunk Port ID 0001],
