dh_inicio,dh_termino,ID,chamados,localidade_id
2018-11-29 19:18:31,2018-11-29 19:34:31,1917,MSOMCCL,MSOMCCL_1917
2018-11-30 01:55:26,2018-11-30 02:20:00,1916,MSRPPPR,MSRPPPR_1916
2018-11-28 22:16:52,2018-11-28 22:33:45,1910,MSOMBLV,MSOMBLV_1910
2018-11-23 13:36:13,2018-11-23 13:38:13,1900,MSOMCGR,MSOMCGR_1900
2018-11-18 15:49:28,2018-11-18 15:50:24,1878,MSOMDOU,MSOMDOU_1878
2018-11-15 21:07:14,2018-11-15 21:09:14,1864,MSRPFDI,MSRPFDI_1864
2018-11-09 13:00:00,2018-11-09 17:00:00,1847,Savis,Savis_1847
2018-11-08 09:13:14,2018-11-08 09:30:00,1845,MSRPMMA,MSRPMMA_1845
2018-11-08 09:27:23,2018-11-08 09:50:00,1844,MSRPMPX,MSRPMPX_1844
2018-11-09 10:58:35,2018-11-09 11:06:35,1841,MSOMCGR,MSOMCGR_1841
2018-11-05 19:52:43,2018-11-05 19:58:20,1828,MSOMPPR,MSOMPPR_1828
2018-11-03 18:52:25,2018-11-03 18:53:25,1824,MSRPPPR,MSRPPPR_1824
2018-11-01 17:00:00,2018-11-03 18:00:00,1817,MSOMCGR,MSOMCGR_1817
2018-11-01 11:52:20,2018-11-01 14:20:21,1804,MSOMJRD,MSOMJRD_1804
