dh_inicio,dh_termino,delta_tempo,Equipamento,Trunk,item_key
2018-10-31 00:00:14.0,2018-10-31 00:00:39.0,3625,MSRPAMB_SWL3_proxy05,Trunk322,
2018-10-31 00:01:14.0,2018-10-31 00:01:39.0,3625,MSRPAMB_SWL3_proxy05,Trunk322,
2018-10-31 00:02:14.0,2018-10-31 00:02:39.0,3625,MSRPAMB_SWL3_proxy05,Trunk322,
2018-10-31 00:03:14.0,2018-10-31 00:03:39.0,3625,MSRPAMB_SWL3_proxy05,Trunk322,
2018-10-31 00:04:14.0,2018-10-31 00:04:39.0,3625,MSRPAMB_SWL3_proxy05,Trunk322,
2018-10-31 00:05:14.0,2018-10-31 00:05:39.0,3625,MSRPAMB_SWL3_proxy05,Trunk322,
2018-10-31 00:06:14.0,2018-10-31 00:06:39.0,3625,MSRPAMB_SWL3_proxy05,Trunk322,
2018-10-31 00:07:14.0,2018-10-31 00:07:39.0,3625,MSRPAMB_SWL3_proxy05,Trunk322,
2018-10-31 00:08:14.0,2018-10-31 00:08:39.0,3625,MSRPAMB_SWL3_proxy05,Trunk322,
2018-10-31 00:09:14.0,2018-10-31 00:09:39.0,3625,MSRPAMB_SWL3_proxy05,Trunk322,
2018-10-31 00:10:14.0,2018-10-31 00:10:39.0,3625,MSRPAMB_SWL3_proxy05,Trunk322,
2018-10-31 00:11:14.0,2018-10-31 00:11:39.0,3625,MSRPAMB_SWL3_proxy05,Trunk322,
2018-10-31 00:12:14.0,2018-10-31 00:12:39.0,3625,MSRPAMB_SWL3_proxy05,Trunk322,
2018-10-31 00:13:14.0,2018-10-31 00:13:39.0,3625,MSRPAMB_SWL3_proxy05,Trunk322,
2018-10-31 00:14:14.0,2018-10-31 00:14:39.0,3625,MSRPAMB_SWL3_proxy05,Trunk322,
2018-10-31 00:15:14.0,2018-10-31 00:15:39.0,3625,MSRPAMB_SWL3_proxy05,Trunk322,
2018-10-31 00:16:14.0,2018-10-31 00:16:39.0,3625,MSRPAMB_SWL3_proxy05,Trunk322,
2018-10-31 00:17:14.0,2018-10-31 00:17:39.0,3625,MSRPAMB_SWL3_proxy05,Trunk322,
2018-10-31 00:18:14.0,2018-10-31 00:18:39.0,3625,MSRPAMB_SWL3_proxy05,Trunk322,
2018-10-31 00:19:14.0,2018-10-31 00:19:39.0,3625,MSRPAMB_SWL3_proxy05,Trunk322,
2018-10-31 00:20:14.0,2018-10-31 00:20:39.0,3625,MSRPAMB_SWL3_proxy05,Trunk322,
