dh_inicio,dh_termino,delta_tempo,Equipamento,Trunk,item_key
2018-10-31 03:02:06.0,2018-10-31 03:02:41.0,3635,MSRPAMO1_SWL3_proxy04,Trunk321,
2018-10-31 03:03:05.0,2018-10-31 03:03:05.0,3600,MSRPAMO1_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:04:05.0,2018-10-31 03:04:05.0,3600,MSRPAMO1_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:05:05.0,2018-10-31 03:05:05.0,3600,MSRPAMO1_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:06:05.0,2018-10-31 03:06:05.0,3600,MSRPAMO1_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:07:05.0,2018-10-31 03:07:05.0,3600,MSRPAMO1_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:08:05.0,2018-10-31 03:08:05.0,3600,MSRPAMO1_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:09:05.0,2018-10-31 03:09:05.0,3600,MSRPAMO1_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:10:05.0,2018-10-31 03:10:05.0,3600,MSRPAMO1_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:11:05.0,2018-10-31 03:11:05.0,3600,MSRPAMO1_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:12:05.0,2018-10-31 03:12:05.0,3600,MSRPAMO1_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:13:05.0,2018-10-31 03:13:05.0,3600,MSRPAMO1_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:14:05.0,2018-10-31 03:14:05.0,3600,MSRPAMO1_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:15:05.0,2018-10-31 03:15:05.0,3600,MSRPAMO1_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:16:05.0,2018-10-31 03:16:05.0,3600,MSRPAMO1_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:17:05.0,2018-10-31 03:17:05.0,3600,MSRPAMO1_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:18:05.0,2018-10-31 03:18:05.0,3600,MSRPAMO1_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:19:05.0,2018-10-31 03:19:05.0,3600,MSRPAMO1_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:20:05.0,2018-10-31 03:20:06.0,3601,MSRPAMO1_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:21:05.0,2018-10-31 03:21:05.0,3600,MSRPAMO1_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:22:05.0,2018-10-31 03:22:05.0,3600,MSRPAMO1_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:23:05.0,2018-10-31 03:23:05.0,3600,MSRPAMO1_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:24:05.0,2018-10-31 03:24:05.0,3600,MSRPAMO1_SWL3,ifOperStatus[Trunk Port ID 0001],
