dh_inicio,dh_termino,delta_tempo,Equipamento,Trunk,item_key
2018-10-31 00:00:10.0,2018-10-31 00:00:21.0,3611,MSRPAMO_SWL3_proxy04,Trunk322,
2018-10-31 00:01:09.0,2018-10-31 00:01:21.0,3612,MSRPAMO_SWL3_proxy04,Trunk322,
2018-10-31 00:02:10.0,2018-10-31 00:02:21.0,3611,MSRPAMO_SWL3_proxy04,Trunk322,
2018-10-31 00:03:09.0,2018-10-31 00:03:21.0,3612,MSRPAMO_SWL3_proxy04,Trunk322,
2018-10-31 00:04:10.0,2018-10-31 00:04:21.0,3611,MSRPAMO_SWL3_proxy04,Trunk322,
2018-10-31 00:05:09.0,2018-10-31 00:05:21.0,3612,MSRPAMO_SWL3_proxy04,Trunk322,
2018-10-31 00:06:09.0,2018-10-31 00:06:21.0,3612,MSRPAMO_SWL3_proxy04,Trunk322,
2018-10-31 00:07:09.0,2018-10-31 00:07:21.0,3612,MSRPAMO_SWL3_proxy04,Trunk322,
2018-10-31 00:08:09.0,2018-10-31 00:08:21.0,3612,MSRPAMO_SWL3_proxy04,Trunk322,
2018-10-31 00:09:09.0,2018-10-31 00:09:21.0,3612,MSRPAMO_SWL3_proxy04,Trunk322,
2018-10-31 00:10:09.0,2018-10-31 00:10:21.0,3612,MSRPAMO_SWL3_proxy04,Trunk322,
2018-10-31 00:11:09.0,2018-10-31 00:11:21.0,3612,MSRPAMO_SWL3_proxy04,Trunk322,
2018-10-31 00:12:09.0,2018-10-31 00:12:21.0,3612,MSRPAMO_SWL3_proxy04,Trunk322,
2018-10-31 00:13:09.0,2018-10-31 00:13:20.0,3611,MSRPAMO_SWL3_proxy04,Trunk322,
2018-10-31 00:14:09.0,2018-10-31 00:14:21.0,3612,MSRPAMO_SWL3_proxy04,Trunk322,
2018-10-31 00:15:09.0,2018-10-31 00:15:20.0,3611,MSRPAMO_SWL3_proxy04,Trunk322,
2018-10-31 00:16:09.0,2018-10-31 00:16:21.0,3612,MSRPAMO_SWL3_proxy04,Trunk322,
