dh_inicio,dh_termino,delta_tempo,Equipamento,Trunk,item_key
2018-10-31 03:02:33.0,2018-10-31 03:02:33.0,3600,MSRPDOU_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:03:33.0,2018-10-31 03:03:33.0,3600,MSRPDOU_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:04:33.0,2018-10-31 03:04:33.0,3600,MSRPDOU_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:05:33.0,2018-10-31 03:05:33.0,3600,MSRPDOU_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:06:33.0,2018-10-31 03:06:33.0,3600,MSRPDOU_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:07:33.0,2018-10-31 03:07:33.0,3600,MSRPDOU_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:08:33.0,2018-10-31 03:08:33.0,3600,MSRPDOU_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:09:33.0,2018-10-31 03:09:33.0,3600,MSRPDOU_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:10:33.0,2018-10-31 03:10:33.0,3600,MSRPDOU_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:11:33.0,2018-10-31 03:11:33.0,3600,MSRPDOU_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:12:33.0,2018-10-31 03:12:33.0,3600,MSRPDOU_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:13:33.0,2018-10-31 03:13:33.0,3600,MSRPDOU_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:14:33.0,2018-10-31 03:14:33.0,3600,MSRPDOU_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:15:33.0,2018-10-31 03:15:33.0,3600,MSRPDOU_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:16:33.0,2018-10-31 03:16:33.0,3600,MSRPDOU_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:17:33.0,2018-10-31 03:17:33.0,3600,MSRPDOU_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:18:33.0,2018-10-31 03:18:34.0,3601,MSRPDOU_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:19:33.0,2018-10-31 03:19:33.0,3600,MSRPDOU_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:20:33.0,2018-10-31 03:20:33.0,3600,MSRPDOU_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:21:34.0,2018-10-31 03:21:37.0,3603,MSRPDOU_SWL3_proxy04,Trunk321,
2018-10-31 03:22:33.0,2018-10-31 03:22:33.0,3600,MSRPDOU_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:23:33.0,2018-10-31 03:23:33.0,3600,MSRPDOU_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:24:33.0,2018-10-31 03:24:33.0,3600,MSRPDOU_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:25:33.0,2018-10-31 03:25:33.0,3600,MSRPDOU_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:26:33.0,2018-10-31 03:26:33.0,3600,MSRPDOU_SWL3,ifOperStatus[Trunk Port ID 0001],
