dh_inicio,dh_termino,delta_tempo,Equipamento,Trunk,item_key
2018-10-31 03:02:21.0,2018-10-31 03:02:22.0,3601,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:03:21.0,2018-10-31 03:03:21.0,3600,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:04:21.0,2018-10-31 03:04:21.0,3600,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:05:21.0,2018-10-31 03:05:21.0,3600,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:06:21.0,2018-10-31 03:06:21.0,3600,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:07:21.0,2018-10-31 03:07:21.0,3600,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:08:21.0,2018-10-31 03:08:21.0,3600,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:09:21.0,2018-10-31 03:09:21.0,3600,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:10:21.0,2018-10-31 03:10:21.0,3600,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:11:22.0,2018-10-31 03:11:30.0,3608,MSRPNAS1_SWL3_proxy06,Trunk321,
2018-10-31 03:12:21.0,2018-10-31 03:12:21.0,3600,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:13:21.0,2018-10-31 03:13:21.0,3600,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:14:21.0,2018-10-31 03:14:21.0,3600,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:15:21.0,2018-10-31 03:15:21.0,3600,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:16:21.0,2018-10-31 03:16:21.0,3600,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:17:21.0,2018-10-31 03:17:21.0,3600,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:18:21.0,2018-10-31 03:18:21.0,3600,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:19:21.0,2018-10-31 03:19:21.0,3600,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:20:21.0,2018-10-31 03:20:21.0,3600,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:21:21.0,2018-10-31 03:21:21.0,3600,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:22:21.0,2018-10-31 03:22:21.0,3600,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:23:21.0,2018-10-31 03:23:21.0,3600,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:24:21.0,2018-10-31 03:24:22.0,3601,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:25:21.0,2018-10-31 03:25:21.0,3600,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:26:21.0,2018-10-31 03:26:21.0,3600,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:27:21.0,2018-10-31 03:27:21.0,3600,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:28:21.0,2018-10-31 03:28:22.0,3601,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:29:21.0,2018-10-31 03:29:21.0,3600,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:30:21.0,2018-10-31 03:30:21.0,3600,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0001],
