dh_inicio,dh_termino,tempo_periodo,tempo_opersts_nOk,delta_value,is_periodo
2018-11-02 12:21:27.0,2018-11-02 12:21:28.0,-3599,,4,1
2018-11-02 12:22:27.0,2018-11-02 12:22:28.0,-3599,,4,1
2018-11-02 12:53:26.0,2018-11-02 12:53:27.0,-3599,,4,1
2018-11-02 13:51:27.0,2018-11-02 13:52:27.0,3660,,4,1
2018-11-02 13:52:27.0,2018-11-02 13:53:27.0,3660,,4,1
2018-11-02 13:59:27.0,2018-11-02 14:00:27.0,3660,,4,1
2018-11-02 14:00:27.0,2018-11-02 14:01:27.0,3660,,4,1
2018-11-02 14:01:27.0,2018-11-02 14:02:27.0,3660,,4,1
2018-11-02 14:02:27.0,2018-11-02 14:03:27.0,3660,,4,1
2018-11-02 14:03:27.0,2018-11-02 14:04:27.0,3660,,4,1
2018-11-02 14:04:27.0,2018-11-02 14:05:27.0,3660,,4,1
2018-11-02 14:05:27.0,2018-11-02 14:06:27.0,3660,,4,1
2018-11-02 14:06:27.0,2018-11-02 14:07:27.0,3660,,4,1
2018-11-02 14:07:27.0,2018-11-02 14:08:27.0,3660,,4,1
2018-11-02 14:08:27.0,2018-11-02 14:09:27.0,3660,,4,1
2018-11-02 14:09:27.0,2018-11-02 14:10:27.0,3660,,4,1
2018-11-02 14:10:27.0,2018-11-02 14:11:27.0,3660,,4,1
2018-11-02 14:11:27.0,2018-11-02 14:12:27.0,3660,,4,1
2018-11-02 14:12:27.0,2018-11-02 14:13:27.0,3660,,4,1
2018-11-02 14:13:27.0,2018-11-02 14:14:27.0,3660,,4,1
2018-11-02 14:14:27.0,2018-11-02 14:15:27.0,3660,,4,1
2018-11-02 14:15:27.0,2018-11-02 14:16:27.0,3660,,4,1
2018-11-02 14:16:27.0,2018-11-02 14:17:27.0,3660,,4,1
2018-11-02 14:17:27.0,2018-11-02 14:18:27.0,3660,,4,1
2018-11-02 14:18:27.0,2018-11-02 14:19:27.0,3660,,4,1
2018-11-02 14:19:27.0,2018-11-02 14:20:27.0,3660,,4,1
2018-11-02 14:20:27.0,2018-11-02 14:21:27.0,3660,,4,1
2018-11-02 14:21:27.0,2018-11-02 14:22:27.0,3660,,4,1
