dh_inicio,dh_termino,delta_tempo,Equipamento,Trunk,item_key
2018-10-31 00:01:25.0,2018-10-31 00:01:25.0,3600,MSRPPPR_SWL3_proxy04,Trunk323,
2018-10-31 00:02:25.0,2018-10-31 00:02:25.0,3600,MSRPPPR_SWL3_proxy04,Trunk323,
2018-10-31 00:03:25.0,2018-10-31 00:03:25.0,3600,MSRPPPR_SWL3_proxy04,Trunk323,
2018-10-31 00:04:25.0,2018-10-31 00:04:25.0,3600,MSRPPPR_SWL3_proxy04,Trunk323,
2018-10-31 00:05:25.0,2018-10-31 00:05:25.0,3600,MSRPPPR_SWL3_proxy04,Trunk323,
2018-10-31 00:06:25.0,2018-10-31 00:06:26.0,3601,MSRPPPR_SWL3_proxy04,Trunk323,
2018-10-31 00:07:25.0,2018-10-31 00:07:25.0,3600,MSRPPPR_SWL3_proxy04,Trunk323,
2018-10-31 00:08:25.0,2018-10-31 00:08:25.0,3600,MSRPPPR_SWL3_proxy04,Trunk323,
2018-10-31 00:09:25.0,2018-10-31 00:09:25.0,3600,MSRPPPR_SWL3_proxy04,Trunk323,
2018-10-31 00:10:25.0,2018-10-31 00:10:25.0,3600,MSRPPPR_SWL3_proxy04,Trunk323,
2018-10-31 00:11:25.0,2018-10-31 00:11:25.0,3600,MSRPPPR_SWL3_proxy04,Trunk323,
2018-10-31 00:12:25.0,2018-10-31 00:12:25.0,3600,MSRPPPR_SWL3_proxy04,Trunk323,
2018-10-31 00:13:25.0,2018-10-31 00:13:25.0,3600,MSRPPPR_SWL3_proxy04,Trunk323,
2018-10-31 00:14:25.0,2018-10-31 00:14:25.0,3600,MSRPPPR_SWL3_proxy04,Trunk323,
2018-10-31 00:15:26.0,2018-10-31 00:15:55.0,3629,MSRPPPR_SWL3_proxy04,Trunk323,
2018-10-31 00:16:25.0,2018-10-31 00:16:25.0,3600,MSRPPPR_SWL3_proxy04,Trunk323,
2018-10-31 00:17:25.0,2018-10-31 00:17:25.0,3600,MSRPPPR_SWL3_proxy04,Trunk323,
2018-10-31 00:18:25.0,2018-10-31 00:18:25.0,3600,MSRPPPR_SWL3_proxy04,Trunk323,
2018-10-31 00:19:25.0,2018-10-31 00:19:25.0,3600,MSRPPPR_SWL3_proxy04,Trunk323,
2018-10-31 00:20:26.0,2018-10-31 00:20:26.0,3600,MSRPPPR_SWL3_proxy04,Trunk323,
2018-10-31 00:21:25.0,2018-10-31 00:21:25.0,3600,MSRPPPR_SWL3_proxy04,Trunk323,
2018-10-31 00:22:25.0,2018-10-31 00:22:25.0,3600,MSRPPPR_SWL3_proxy04,Trunk323,
2018-10-31 00:23:25.0,2018-10-31 00:23:25.0,3600,MSRPPPR_SWL3_proxy04,Trunk323,
2018-10-31 00:24:25.0,2018-10-31 00:24:25.0,3600,MSRPPPR_SWL3_proxy04,Trunk323,
2018-10-31 00:25:25.0,2018-10-31 00:25:26.0,3601,MSRPPPR_SWL3_proxy04,Trunk323,
2018-10-31 00:26:25.0,2018-10-31 00:26:25.0,3600,MSRPPPR_SWL3_proxy04,Trunk323,
2018-10-31 00:27:25.0,2018-10-31 00:27:55.0,3630,MSRPPPR_SWL3_proxy04,Trunk323,
2018-10-31 00:28:25.0,2018-10-31 00:28:25.0,3600,MSRPPPR_SWL3_proxy04,Trunk323,
2018-10-31 00:29:25.0,2018-10-31 00:29:25.0,3600,MSRPPPR_SWL3_proxy04,Trunk323,
2018-10-31 00:30:25.0,2018-10-31 00:30:25.0,3600,MSRPPPR_SWL3_proxy04,Trunk323,
2018-10-31 00:31:25.0,2018-10-31 00:31:25.0,3600,MSRPPPR_SWL3_proxy04,Trunk323,
2018-10-31 00:32:25.0,2018-10-31 00:32:25.0,3600,MSRPPPR_SWL3_proxy04,Trunk323,
2018-10-31 00:33:25.0,2018-10-31 00:33:25.0,3600,MSRPPPR_SWL3_proxy04,Trunk323,
2018-10-31 00:34:25.0,2018-10-31 00:34:25.0,3600,MSRPPPR_SWL3_proxy04,Trunk323,
2018-10-31 00:35:25.0,2018-10-31 00:35:25.0,3600,MSRPPPR_SWL3_proxy04,Trunk323,
2018-10-31 00:36:25.0,2018-10-31 00:36:25.0,3600,MSRPPPR_SWL3_proxy04,Trunk323,
2018-10-31 00:37:25.0,2018-10-31 00:37:25.0,3600,MSRPPPR_SWL3_proxy04,Trunk323,
2018-10-31 00:38:25.0,2018-10-31 00:38:25.0,3600,MSRPPPR_SWL3_proxy04,Trunk323,
2018-10-31 00:39:26.0,2018-10-31 00:39:55.0,3629,MSRPPPR_SWL3_proxy04,Trunk323,
2018-10-31 00:40:26.0,2018-10-31 00:40:55.0,3629,MSRPPPR_SWL3_proxy04,Trunk323,
2018-10-31 00:41:25.0,2018-10-31 00:41:25.0,3600,MSRPPPR_SWL3_proxy04,Trunk323,
2018-10-31 00:42:25.0,2018-10-31 00:42:25.0,3600,MSRPPPR_SWL3_proxy04,Trunk323,
2018-10-31 00:43:25.0,2018-10-31 00:43:25.0,3600,MSRPPPR_SWL3_proxy04,Trunk323,
2018-10-31 00:44:25.0,2018-10-31 00:44:25.0,3600,MSRPPPR_SWL3_proxy04,Trunk323,
2018-10-31 00:45:26.0,2018-10-31 00:45:55.0,3629,MSRPPPR_SWL3_proxy04,Trunk323,
2018-10-31 00:46:25.0,2018-10-31 00:46:25.0,3600,MSRPPPR_SWL3_proxy04,Trunk323,
2018-10-31 00:47:25.0,2018-10-31 00:47:25.0,3600,MSRPPPR_SWL3_proxy04,Trunk323,
2018-10-31 00:48:25.0,2018-10-31 00:48:25.0,3600,MSRPPPR_SWL3_proxy04,Trunk323,
2018-10-31 00:49:25.0,2018-10-31 00:49:25.0,3600,MSRPPPR_SWL3_proxy04,Trunk323,
2018-10-31 00:50:25.0,2018-10-31 00:50:25.0,3600,MSRPPPR_SWL3_proxy04,Trunk323,
2018-10-31 00:51:25.0,2018-10-31 00:51:25.0,3600,MSRPPPR_SWL3_proxy04,Trunk323,
2018-10-31 00:52:25.0,2018-10-31 00:52:25.0,3600,MSRPPPR_SWL3_proxy04,Trunk323,
2018-10-31 00:53:25.0,2018-10-31 00:53:25.0,3600,MSRPPPR_SWL3_proxy04,Trunk323,
2018-10-31 00:54:26.0,2018-10-31 00:54:55.0,3629,MSRPPPR_SWL3_proxy04,Trunk323,
2018-10-31 00:55:25.0,2018-10-31 00:55:26.0,3601,MSRPPPR_SWL3_proxy04,Trunk323,
2018-10-31 00:56:25.0,2018-10-31 00:56:25.0,3600,MSRPPPR_SWL3_proxy04,Trunk323,
2018-10-31 00:57:25.0,2018-10-31 00:57:25.0,3600,MSRPPPR_SWL3_proxy04,Trunk323,
2018-10-31 00:58:25.0,2018-10-31 00:58:25.0,3600,MSRPPPR_SWL3_proxy04,Trunk323,
2018-10-31 00:59:25.0,2018-10-31 00:59:25.0,3600,MSRPPPR_SWL3_proxy04,Trunk323,
2018-10-31 01:01:25.0,2018-10-31 01:01:25.0,3600,MSRPPPR_SWL3_proxy04,Trunk323,
2018-10-31 01:02:25.0,2018-10-31 01:02:25.0,3600,MSRPPPR_SWL3_proxy04,Trunk323,
2018-10-31 01:03:25.0,2018-10-31 01:03:25.0,3600,MSRPPPR_SWL3_proxy04,Trunk323,
2018-10-31 01:04:25.0,2018-10-31 01:04:25.0,3600,MSRPPPR_SWL3_proxy04,Trunk323,
2018-10-31 01:05:25.0,2018-10-31 01:05:25.0,3600,MSRPPPR_SWL3_proxy04,Trunk323,
2018-10-31 01:06:26.0,2018-10-31 01:06:55.0,3629,MSRPPPR_SWL3_proxy04,Trunk323,
2018-10-31 01:07:25.0,2018-10-31 01:07:25.0,3600,MSRPPPR_SWL3_proxy04,Trunk323,
2018-10-31 01:08:25.0,2018-10-31 01:08:25.0,3600,MSRPPPR_SWL3_proxy04,Trunk323,
2018-10-31 01:09:25.0,2018-10-31 01:09:25.0,3600,MSRPPPR_SWL3_proxy04,Trunk323,
2018-10-31 01:10:25.0,2018-10-31 01:10:26.0,3601,MSRPPPR_SWL3_proxy04,Trunk323,
2018-10-31 01:11:25.0,2018-10-31 01:11:25.0,3600,MSRPPPR_SWL3_proxy04,Trunk323,
2018-10-31 01:12:25.0,2018-10-31 01:12:25.0,3600,MSRPPPR_SWL3_proxy04,Trunk323,
2018-10-31 01:13:25.0,2018-10-31 01:13:25.0,3600,MSRPPPR_SWL3_proxy04,Trunk323,
2018-10-31 01:14:25.0,2018-10-31 01:14:25.0,3600,MSRPPPR_SWL3_proxy04,Trunk323,
