dh_inicio,dh_termino,ID,chamados,localidade_id
2018-11-28 21:16:13,2018-11-28 21:33:13,1910,MSOMBLV,MSOMBLV_1910
2018-11-28 21:16:13,2018-11-28 21:33:13,1910,MSRPMMA,MSRPMMA_1910
2018-11-23 13:36:13,2018-11-23 13:38:13,1900,MSOMCGR,MSOMCGR_1900
2018-11-18 15:49:28,2018-11-18 15:50:24,1878,MSOMDOU,MSOMDOU_1878
2018-11-18 15:49:28,2018-11-18 15:50:24,1878,MSRPDOU,MSRPDOU_1878
2018-11-15 21:07:14,2018-11-15 21:09:14,1864,MSRPTRN,MSRPTRN_1864
2018-11-15 21:07:14,2018-11-15 21:09:14,1864,MSRPFDI,MSRPFDI_1864
2018-11-08 09:13:14,2018-11-08 09:30:00,1845,MSRPJRD,MSRPJRD_1845
2018-11-08 08:27:23,2018-11-08 09:50:00,1844,MSRPFDI,MSRPFDI_1844
2018-11-08 08:27:23,2018-11-08 09:50:00,1844,MSRPMPX,MSRPMPX_1844
2018-11-09 10:58:35,2018-11-09 11:06:35,1841,MSOMCCL,MSOMCCL_1841
2018-11-09 10:58:35,2018-11-09 11:06:35,1841,MSRPATJ,MSRPATJ_1841
2018-11-05 19:47:43,2018-11-05 19:58:20,1828,MSRPSPE,MSRPSPE_1828
2018-11-05 19:47:43,2018-11-05 19:58:20,1828,MSRPMPX,MSRPMPX_1828
2018-11-03 18:52:25,2018-11-03 18:53:25,1824,MSRPPPR,MSRPPPR_1824
2018-11-03 18:52:25,2018-11-03 18:53:25,1824,MSOMCCL,MSOMCCL_1824
2018-11-01 17:00:00,2018-11-03 18:00:00,1817,MSRPPPR,MSRPPPR_1817
2018-11-01 17:00:00,2018-11-03 18:00:00,1817,MSOMDOU,MSOMDOU_1817
2018-11-01 17:00:00,2018-11-03 18:00:00,1817,MSRPDOU,MSRPDOU_1817
2018-11-01 17:00:00,2018-11-03 18:00:00,1817,MSRPRBR,MSRPRBR_1817
2018-11-01 17:00:00,2018-11-03 18:00:00,1817,MSRPNAS,MSRPNAS_1817
2018-11-01 17:00:00,2018-11-03 18:00:00,1817,MSRPNAS1,MSRPNAS1_1817
2018-11-01 17:00:00,2018-11-03 18:00:00,1817,MSOMCGR,MSOMCGR_1817
2018-11-01 17:00:00,2018-11-03 18:00:00,1817,MSRPCGR,MSRPCGR_1817
2018-11-01 17:00:00,2018-11-03 18:00:00,1817,MSRPNVL,MSRPNVL_1817
2018-11-01 17:00:00,2018-11-03 18:00:00,1817,MSRPTRN,MSRPTRN_1817
2018-11-01 17:00:00,2018-11-03 18:00:00,1817,MSRRFDI,MSRRFDI_1817
2018-11-01 17:00:00,2018-11-03 18:00:00,1817,MSRPMPX,MSRPMPX_1817
2018-11-01 17:00:00,2018-11-03 18:00:00,1817,MSRPSPE,MSRPSPE_1817
2018-11-01 17:00:00,2018-11-03 18:00:00,1817,MSRPNOQ,MSRPNOQ_1817
2018-11-01 17:00:00,2018-11-03 18:00:00,1817,MSOMJRD,MSOMJRD_1817
2018-11-01 17:00:00,2018-11-03 18:00:00,1817,MSRPMMA,MSRPMMA_1817
2018-11-01 17:00:00,2018-11-03 18:00:00,1817,MSRPMPX,MSRPMPX_1817
2018-11-01 17:00:00,2018-11-03 18:00:00,1817,MSOMBLV,MSOMBLV_1817
2018-11-01 17:00:00,2018-11-03 18:00:00,1817,MSRPATJ,MSRPATJ_1817
2018-11-01 17:00:00,2018-11-03 18:00:00,1817,MSOMCCL,MSOMCCL_1817
2018-11-01 11:52:20,2018-11-01 14:20:21,1804,MSOMBLV,MSOMBLV_1804
2018-11-01 11:52:20,2018-11-01 14:20:21,1804,MSRPATJ,MSRPATJ_1804
