dh_inicio,dh_termino,delta_tempo,Equipamento,Trunk,item_key
2018-10-31 00:00:24.0,2018-10-31 00:00:33.0,3609,MSOMDOU_SWL3_proxy04,Trunk322,
2018-10-31 00:01:24.0,2018-10-31 00:01:33.0,3609,MSOMDOU_SWL3_proxy04,Trunk322,
2018-10-31 00:02:24.0,2018-10-31 00:02:33.0,3609,MSOMDOU_SWL3_proxy04,Trunk322,
2018-10-31 00:03:24.0,2018-10-31 00:03:33.0,3609,MSOMDOU_SWL3_proxy04,Trunk322,
2018-10-31 00:04:24.0,2018-10-31 00:04:33.0,3609,MSOMDOU_SWL3_proxy04,Trunk322,
2018-10-31 00:05:24.0,2018-10-31 00:05:33.0,3609,MSOMDOU_SWL3_proxy04,Trunk322,
2018-10-31 00:06:24.0,2018-10-31 00:06:33.0,3609,MSOMDOU_SWL3_proxy04,Trunk322,
2018-10-31 00:07:24.0,2018-10-31 00:07:33.0,3609,MSOMDOU_SWL3_proxy04,Trunk322,
2018-10-31 00:08:24.0,2018-10-31 00:08:33.0,3609,MSOMDOU_SWL3_proxy04,Trunk322,
2018-10-31 00:09:24.0,2018-10-31 00:09:34.0,3610,MSOMDOU_SWL3_proxy04,Trunk322,
2018-10-31 00:10:24.0,2018-10-31 00:10:33.0,3609,MSOMDOU_SWL3_proxy04,Trunk322,
2018-10-31 00:11:24.0,2018-10-31 00:11:33.0,3609,MSOMDOU_SWL3_proxy04,Trunk322,
2018-10-31 00:12:24.0,2018-10-31 00:12:33.0,3609,MSOMDOU_SWL3_proxy04,Trunk322,
2018-10-31 00:13:24.0,2018-10-31 00:13:33.0,3609,MSOMDOU_SWL3_proxy04,Trunk322,
2018-10-31 00:14:24.0,2018-10-31 00:14:33.0,3609,MSOMDOU_SWL3_proxy04,Trunk322,
2018-10-31 00:15:24.0,2018-10-31 00:15:33.0,3609,MSOMDOU_SWL3_proxy04,Trunk322,
2018-10-31 00:16:24.0,2018-10-31 00:16:33.0,3609,MSOMDOU_SWL3_proxy04,Trunk322,
2018-10-31 00:17:24.0,2018-10-31 00:17:33.0,3609,MSOMDOU_SWL3_proxy04,Trunk322,
2018-10-31 00:18:24.0,2018-10-31 00:18:33.0,3609,MSOMDOU_SWL3_proxy04,Trunk322,
2018-10-31 00:19:24.0,2018-10-31 00:19:33.0,3609,MSOMDOU_SWL3_proxy04,Trunk322,
2018-10-31 00:20:24.0,2018-10-31 00:20:33.0,3609,MSOMDOU_SWL3_proxy04,Trunk322,
2018-10-31 00:21:24.0,2018-10-31 00:21:33.0,3609,MSOMDOU_SWL3_proxy04,Trunk322,
2018-10-31 00:22:24.0,2018-10-31 00:22:32.0,3608,MSOMDOU_SWL3_proxy04,Trunk322,
2018-10-31 00:23:24.0,2018-10-31 00:23:33.0,3609,MSOMDOU_SWL3_proxy04,Trunk322,
2018-10-31 00:24:24.0,2018-10-31 00:24:33.0,3609,MSOMDOU_SWL3_proxy04,Trunk322,
2018-10-31 00:25:24.0,2018-10-31 00:25:33.0,3609,MSOMDOU_SWL3_proxy04,Trunk322,
2018-10-31 00:26:24.0,2018-10-31 00:26:33.0,3609,MSOMDOU_SWL3_proxy04,Trunk322,
2018-10-31 00:27:24.0,2018-10-31 00:27:33.0,3609,MSOMDOU_SWL3_proxy04,Trunk322,
2018-10-31 00:28:24.0,2018-10-31 00:28:33.0,3609,MSOMDOU_SWL3_proxy04,Trunk322,
2018-10-31 00:29:24.0,2018-10-31 00:29:33.0,3609,MSOMDOU_SWL3_proxy04,Trunk322,
2018-10-31 00:30:24.0,2018-10-31 00:30:33.0,3609,MSOMDOU_SWL3_proxy04,Trunk322,
2018-10-31 00:31:24.0,2018-10-31 00:31:33.0,3609,MSOMDOU_SWL3_proxy04,Trunk322,
2018-10-31 00:32:24.0,2018-10-31 00:32:33.0,3609,MSOMDOU_SWL3_proxy04,Trunk322,
2018-10-31 00:33:24.0,2018-10-31 00:33:33.0,3609,MSOMDOU_SWL3_proxy04,Trunk322,
2018-10-31 00:34:24.0,2018-10-31 00:34:33.0,3609,MSOMDOU_SWL3_proxy04,Trunk322,
2018-10-31 00:35:24.0,2018-10-31 00:35:33.0,3609,MSOMDOU_SWL3_proxy04,Trunk322,
2018-10-31 00:36:24.0,2018-10-31 00:36:33.0,3609,MSOMDOU_SWL3_proxy04,Trunk322,
2018-10-31 00:37:24.0,2018-10-31 00:37:33.0,3609,MSOMDOU_SWL3_proxy04,Trunk322,
2018-10-31 00:38:24.0,2018-10-31 00:38:33.0,3609,MSOMDOU_SWL3_proxy04,Trunk322,
2018-10-31 00:39:24.0,2018-10-31 00:39:33.0,3609,MSOMDOU_SWL3_proxy04,Trunk322,
2018-10-31 00:40:24.0,2018-10-31 00:40:33.0,3609,MSOMDOU_SWL3_proxy04,Trunk322,
2018-10-31 00:41:24.0,2018-10-31 00:41:33.0,3609,MSOMDOU_SWL3_proxy04,Trunk322,
2018-10-31 00:42:24.0,2018-10-31 00:42:33.0,3609,MSOMDOU_SWL3_proxy04,Trunk322,
2018-10-31 00:43:24.0,2018-10-31 00:43:33.0,3609,MSOMDOU_SWL3_proxy04,Trunk322,
2018-10-31 00:44:24.0,2018-10-31 00:44:33.0,3609,MSOMDOU_SWL3_proxy04,Trunk322,
2018-10-31 00:45:24.0,2018-10-31 00:45:33.0,3609,MSOMDOU_SWL3_proxy04,Trunk322,
2018-10-31 00:46:24.0,2018-10-31 00:46:33.0,3609,MSOMDOU_SWL3_proxy04,Trunk322,
2018-10-31 00:47:24.0,2018-10-31 00:47:33.0,3609,MSOMDOU_SWL3_proxy04,Trunk322,
2018-10-31 00:48:24.0,2018-10-31 00:48:33.0,3609,MSOMDOU_SWL3_proxy04,Trunk322,
2018-10-31 00:49:24.0,2018-10-31 00:49:33.0,3609,MSOMDOU_SWL3_proxy04,Trunk322,
2018-10-31 00:50:24.0,2018-10-31 00:50:33.0,3609,MSOMDOU_SWL3_proxy04,Trunk322,
2018-10-31 00:51:24.0,2018-10-31 00:51:33.0,3609,MSOMDOU_SWL3_proxy04,Trunk322,
2018-10-31 00:52:24.0,2018-10-31 00:52:33.0,3609,MSOMDOU_SWL3_proxy04,Trunk322,
2018-10-31 00:53:24.0,2018-10-31 00:53:33.0,3609,MSOMDOU_SWL3_proxy04,Trunk322,
2018-10-31 00:54:24.0,2018-10-31 00:54:33.0,3609,MSOMDOU_SWL3_proxy04,Trunk322,
2018-10-31 00:55:25.0,2018-10-31 00:55:33.0,3608,MSOMDOU_SWL3_proxy04,Trunk322,
2018-10-31 00:56:24.0,2018-10-31 00:56:33.0,3609,MSOMDOU_SWL3_proxy04,Trunk322,
2018-10-31 00:57:24.0,2018-10-31 00:57:33.0,3609,MSOMDOU_SWL3_proxy04,Trunk322,
2018-10-31 00:58:24.0,2018-10-31 00:58:33.0,3609,MSOMDOU_SWL3_proxy04,Trunk322,
2018-10-31 00:59:24.0,2018-10-31 00:59:33.0,3609,MSOMDOU_SWL3_proxy04,Trunk322,
2018-10-31 01:00:24.0,2018-10-31 01:00:33.0,3609,MSOMDOU_SWL3_proxy04,Trunk322,
2018-10-31 01:01:24.0,2018-10-31 01:01:33.0,3609,MSOMDOU_SWL3_proxy04,Trunk322,
2018-10-31 01:02:24.0,2018-10-31 01:02:33.0,3609,MSOMDOU_SWL3_proxy04,Trunk322,
2018-10-31 01:03:24.0,2018-10-31 01:03:33.0,3609,MSOMDOU_SWL3_proxy04,Trunk322,
2018-10-31 01:04:24.0,2018-10-31 01:04:33.0,3609,MSOMDOU_SWL3_proxy04,Trunk322,
2018-10-31 01:05:24.0,2018-10-31 01:05:33.0,3609,MSOMDOU_SWL3_proxy04,Trunk322,
2018-10-31 01:06:24.0,2018-10-31 01:06:33.0,3609,MSOMDOU_SWL3_proxy04,Trunk322,
2018-10-31 01:07:24.0,2018-10-31 01:07:33.0,3609,MSOMDOU_SWL3_proxy04,Trunk322,
2018-10-31 01:08:24.0,2018-10-31 01:08:33.0,3609,MSOMDOU_SWL3_proxy04,Trunk322,
2018-10-31 01:09:24.0,2018-10-31 01:09:33.0,3609,MSOMDOU_SWL3_proxy04,Trunk322,
2018-10-31 01:10:24.0,2018-10-31 01:10:33.0,3609,MSOMDOU_SWL3_proxy04,Trunk322,
2018-10-31 01:11:24.0,2018-10-31 01:11:33.0,3609,MSOMDOU_SWL3_proxy04,Trunk322,
2018-10-31 01:12:24.0,2018-10-31 01:12:33.0,3609,MSOMDOU_SWL3_proxy04,Trunk322,
2018-10-31 01:13:24.0,2018-10-31 01:13:33.0,3609,MSOMDOU_SWL3_proxy04,Trunk322,
2018-10-31 01:14:24.0,2018-10-31 01:14:33.0,3609,MSOMDOU_SWL3_proxy04,Trunk322,
2018-10-31 01:15:24.0,2018-10-31 01:15:33.0,3609,MSOMDOU_SWL3_proxy04,Trunk322,
2018-10-31 01:16:24.0,2018-10-31 01:16:33.0,3609,MSOMDOU_SWL3_proxy04,Trunk322,
