dh_inicio,dh_termino,delta_tempo,Equipamento,Trunk,item_key
2018-10-31 03:01:49.0,2018-10-31 03:02:26.0,3637,MSRPCGR_SWL3_proxy06,Trunk321,
2018-10-31 03:02:49.0,2018-10-31 03:02:50.0,3601,MSRPCGR_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:03:49.0,2018-10-31 03:03:50.0,3601,MSRPCGR_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:04:49.0,2018-10-31 03:04:50.0,3601,MSRPCGR_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:05:49.0,2018-10-31 03:05:49.0,3600,MSRPCGR_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:06:50.0,2018-10-31 03:06:56.0,3606,MSRPCGR_SWL3_proxy06,Trunk321,
2018-10-31 03:07:49.0,2018-10-31 03:07:49.0,3600,MSRPCGR_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:08:50.0,2018-10-31 03:08:50.0,3600,MSRPCGR_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:09:50.0,2018-10-31 03:09:50.0,3600,MSRPCGR_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:10:49.0,2018-10-31 03:10:50.0,3601,MSRPCGR_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:11:49.0,2018-10-31 03:11:50.0,3601,MSRPCGR_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:12:49.0,2018-10-31 03:12:49.0,3600,MSRPCGR_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:13:50.0,2018-10-31 03:13:56.0,3606,MSRPCGR_SWL3_proxy06,Trunk321,
2018-10-31 03:14:50.0,2018-10-31 03:14:50.0,3600,MSRPCGR_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:15:49.0,2018-10-31 03:15:50.0,3601,MSRPCGR_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:16:50.0,2018-10-31 03:16:56.0,3606,MSRPCGR_SWL3_proxy06,Trunk321,
2018-10-31 03:17:49.0,2018-10-31 03:17:49.0,3600,MSRPCGR_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:18:49.0,2018-10-31 03:18:50.0,3601,MSRPCGR_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:19:50.0,2018-10-31 03:19:56.0,3606,MSRPCGR_SWL3_proxy06,Trunk321,
2018-10-31 03:20:50.0,2018-10-31 03:20:56.0,3606,MSRPCGR_SWL3_proxy06,Trunk321,
2018-10-31 03:21:50.0,2018-10-31 03:21:56.0,3606,MSRPCGR_SWL3_proxy06,Trunk321,
2018-10-31 03:22:49.0,2018-10-31 03:22:49.0,3600,MSRPCGR_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:23:50.0,2018-10-31 03:23:56.0,3606,MSRPCGR_SWL3_proxy06,Trunk321,
2018-10-31 03:24:50.0,2018-10-31 03:24:50.0,3600,MSRPCGR_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:25:49.0,2018-10-31 03:25:49.0,3600,MSRPCGR_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:26:50.0,2018-10-31 03:26:50.0,3600,MSRPCGR_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:27:49.0,2018-10-31 03:27:49.0,3600,MSRPCGR_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:28:50.0,2018-10-31 03:28:50.0,3600,MSRPCGR_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:29:50.0,2018-10-31 03:29:56.0,3606,MSRPCGR_SWL3_proxy06,Trunk321,
2018-10-31 03:30:49.0,2018-10-31 03:30:50.0,3601,MSRPCGR_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:31:49.0,2018-10-31 03:31:50.0,3601,MSRPCGR_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:32:49.0,2018-10-31 03:32:49.0,3600,MSRPCGR_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:33:49.0,2018-10-31 03:33:49.0,3600,MSRPCGR_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:34:50.0,2018-10-31 03:34:56.0,3606,MSRPCGR_SWL3_proxy06,Trunk321,
2018-10-31 03:35:50.0,2018-10-31 03:35:56.0,3606,MSRPCGR_SWL3_proxy06,Trunk321,
2018-10-31 03:36:49.0,2018-10-31 03:36:50.0,3601,MSRPCGR_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:37:49.0,2018-10-31 03:37:49.0,3600,MSRPCGR_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:38:49.0,2018-10-31 03:38:49.0,3600,MSRPCGR_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:39:49.0,2018-10-31 03:39:50.0,3601,MSRPCGR_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:40:49.0,2018-10-31 03:40:50.0,3601,MSRPCGR_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:41:49.0,2018-10-31 03:41:50.0,3601,MSRPCGR_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:42:49.0,2018-10-31 03:42:49.0,3600,MSRPCGR_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:43:50.0,2018-10-31 03:43:50.0,3600,MSRPCGR_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:44:49.0,2018-10-31 03:44:50.0,3601,MSRPCGR_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:45:49.0,2018-10-31 03:45:50.0,3601,MSRPCGR_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:46:49.0,2018-10-31 03:46:50.0,3601,MSRPCGR_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:47:50.0,2018-10-31 03:47:56.0,3606,MSRPCGR_SWL3_proxy06,Trunk321,
2018-10-31 03:48:49.0,2018-10-31 03:48:50.0,3601,MSRPCGR_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:49:50.0,2018-10-31 03:49:56.0,3606,MSRPCGR_SWL3_proxy06,Trunk321,
2018-10-31 03:50:49.0,2018-10-31 03:50:49.0,3600,MSRPCGR_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:51:49.0,2018-10-31 03:51:49.0,3600,MSRPCGR_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:52:49.0,2018-10-31 03:52:50.0,3601,MSRPCGR_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:53:49.0,2018-10-31 03:53:50.0,3601,MSRPCGR_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:54:50.0,2018-10-31 03:54:56.0,3606,MSRPCGR_SWL3_proxy06,Trunk321,
