dh_inicio,dh_termino,delta_tempo,Equipamento,Trunk,item_key
2018-10-31 00:00:45.0,2018-10-31 00:01:04.0,3619,MSRPNAS_SWL3_proxy06,Trunk322,
2018-10-31 00:01:45.0,2018-10-31 00:02:04.0,3619,MSRPNAS_SWL3_proxy06,Trunk322,
2018-10-31 00:02:45.0,2018-10-31 00:03:04.0,3619,MSRPNAS_SWL3_proxy06,Trunk322,
2018-10-31 00:03:45.0,2018-10-31 00:04:04.0,3619,MSRPNAS_SWL3_proxy06,Trunk322,
2018-10-31 00:04:45.0,2018-10-31 00:05:04.0,3619,MSRPNAS_SWL3_proxy06,Trunk322,
2018-10-31 00:05:45.0,2018-10-31 00:06:04.0,3619,MSRPNAS_SWL3_proxy06,Trunk322,
2018-10-31 00:06:45.0,2018-10-31 00:07:04.0,3619,MSRPNAS_SWL3_proxy06,Trunk322,
2018-10-31 00:07:45.0,2018-10-31 00:08:04.0,3619,MSRPNAS_SWL3_proxy06,Trunk322,
2018-10-31 00:08:45.0,2018-10-31 00:09:04.0,3619,MSRPNAS_SWL3_proxy06,Trunk322,
2018-10-31 00:09:45.0,2018-10-31 00:10:04.0,3619,MSRPNAS_SWL3_proxy06,Trunk322,
2018-10-31 00:10:45.0,2018-10-31 00:11:04.0,3619,MSRPNAS_SWL3_proxy06,Trunk322,
2018-10-31 00:11:45.0,2018-10-31 00:12:04.0,3619,MSRPNAS_SWL3_proxy06,Trunk322,
2018-10-31 00:12:45.0,2018-10-31 00:13:04.0,3619,MSRPNAS_SWL3_proxy06,Trunk322,
2018-10-31 00:13:45.0,2018-10-31 00:14:04.0,3619,MSRPNAS_SWL3_proxy06,Trunk322,
2018-10-31 00:14:45.0,2018-10-31 00:15:04.0,3619,MSRPNAS_SWL3_proxy06,Trunk322,
2018-10-31 00:15:45.0,2018-10-31 00:16:04.0,3619,MSRPNAS_SWL3_proxy06,Trunk322,
2018-10-31 00:16:45.0,2018-10-31 00:17:04.0,3619,MSRPNAS_SWL3_proxy06,Trunk322,
2018-10-31 00:17:45.0,2018-10-31 00:18:04.0,3619,MSRPNAS_SWL3_proxy06,Trunk322,
2018-10-31 00:18:46.0,2018-10-31 00:19:04.0,3618,MSRPNAS_SWL3_proxy06,Trunk322,
2018-10-31 00:19:45.0,2018-10-31 00:20:04.0,3619,MSRPNAS_SWL3_proxy06,Trunk322,
2018-10-31 00:20:45.0,2018-10-31 00:21:04.0,3619,MSRPNAS_SWL3_proxy06,Trunk322,
2018-10-31 00:21:45.0,2018-10-31 00:22:04.0,3619,MSRPNAS_SWL3_proxy06,Trunk322,
2018-10-31 00:22:45.0,2018-10-31 00:23:04.0,3619,MSRPNAS_SWL3_proxy06,Trunk322,
2018-10-31 00:23:45.0,2018-10-31 00:24:04.0,3619,MSRPNAS_SWL3_proxy06,Trunk322,
2018-10-31 00:24:46.0,2018-10-31 00:25:04.0,3618,MSRPNAS_SWL3_proxy06,Trunk322,
2018-10-31 00:25:45.0,2018-10-31 00:26:04.0,3619,MSRPNAS_SWL3_proxy06,Trunk322,
2018-10-31 00:26:45.0,2018-10-31 00:27:04.0,3619,MSRPNAS_SWL3_proxy06,Trunk322,
2018-10-31 00:27:45.0,2018-10-31 00:28:04.0,3619,MSRPNAS_SWL3_proxy06,Trunk322,
