dh_inicio,dh_termino,delta_tempo,Equipamento,Trunk,item_key
2018-10-31 03:01:41.0,2018-10-31 03:02:37.0,3656,MSRPRBR_SWL3_proxy06,Trunk321,
2018-10-31 03:02:41.0,2018-10-31 03:02:41.0,3600,MSRPRBR_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:03:41.0,2018-10-31 03:03:41.0,3600,MSRPRBR_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:04:41.0,2018-10-31 03:04:41.0,3600,MSRPRBR_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:05:41.0,2018-10-31 03:05:41.0,3600,MSRPRBR_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:06:41.0,2018-10-31 03:06:41.0,3600,MSRPRBR_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:07:41.0,2018-10-31 03:07:41.0,3600,MSRPRBR_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:08:41.0,2018-10-31 03:08:41.0,3600,MSRPRBR_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:09:41.0,2018-10-31 03:09:41.0,3600,MSRPRBR_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:10:41.0,2018-10-31 03:10:41.0,3600,MSRPRBR_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:11:41.0,2018-10-31 03:11:41.0,3600,MSRPRBR_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:12:42.0,2018-10-31 03:13:07.0,3625,MSRPRBR_SWL3_proxy06,Trunk321,
2018-10-31 03:13:41.0,2018-10-31 03:13:41.0,3600,MSRPRBR_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:14:41.0,2018-10-31 03:14:41.0,3600,MSRPRBR_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:15:41.0,2018-10-31 03:15:41.0,3600,MSRPRBR_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:16:41.0,2018-10-31 03:16:41.0,3600,MSRPRBR_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:17:41.0,2018-10-31 03:17:41.0,3600,MSRPRBR_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:18:41.0,2018-10-31 03:18:41.0,3600,MSRPRBR_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:19:41.0,2018-10-31 03:19:41.0,3600,MSRPRBR_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:20:41.0,2018-10-31 03:20:41.0,3600,MSRPRBR_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:21:41.0,2018-10-31 03:21:41.0,3600,MSRPRBR_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:22:41.0,2018-10-31 03:22:41.0,3600,MSRPRBR_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:23:41.0,2018-10-31 03:23:41.0,3600,MSRPRBR_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:24:41.0,2018-10-31 03:24:41.0,3600,MSRPRBR_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:25:41.0,2018-10-31 03:25:41.0,3600,MSRPRBR_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:26:41.0,2018-10-31 03:26:41.0,3600,MSRPRBR_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:27:41.0,2018-10-31 03:27:41.0,3600,MSRPRBR_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:28:41.0,2018-10-31 03:28:41.0,3600,MSRPRBR_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:29:41.0,2018-10-31 03:29:42.0,3601,MSRPRBR_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:30:41.0,2018-10-31 03:30:41.0,3600,MSRPRBR_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:31:41.0,2018-10-31 03:31:41.0,3600,MSRPRBR_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:32:41.0,2018-10-31 03:32:41.0,3600,MSRPRBR_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:33:41.0,2018-10-31 03:33:41.0,3600,MSRPRBR_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 03:34:41.0,2018-10-31 03:34:41.0,3600,MSRPRBR_SWL3,ifOperStatus[Trunk Port ID 0001],
