dh_inicio,dh_termino,delta_tempo,Equipamento,Trunk,item_key
2018-10-02 17:49:10.0,2018-10-02 18:01:39.0,749,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-10-05 19:25:17.0,2018-10-05 19:28:07.0,170,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-10-22 20:47:06.0,2018-10-22 21:14:02.0,1616,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-10-25 19:17:01.0,2018-10-25 19:45:28.0,1707,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-10-27 04:56:33.0,2018-10-27 08:38:30.0,13317,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-10-29 19:05:33.0,2018-10-29 19:55:28.0,2995,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-10-29 20:01:28.0,2018-10-29 20:46:54.0,2726,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-10-29 20:54:54.0,2018-10-29 21:08:28.0,814,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-10-30 12:29:27.0,2018-10-30 13:30:54.0,3687,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-10-30 18:37:54.0,2018-10-30 18:44:44.0,410,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-10-31 10:51:54.0,2018-10-31 10:55:26.0,212,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-11-01 12:41:54.0,2018-11-01 12:53:11.0,677,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-11-01 13:51:54.0,2018-11-01 13:55:45.0,231,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0002],
