dh_inicio,dh_termino,delta_tempo,Equipamento,Trunk,item_key
2018-10-02 17:49:19.0,2018-10-02 18:01:45.0,746,MSOMCARC_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-10-04 13:07:23.0,2018-10-04 13:10:23.0,180,MSOMCARC_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-10-05 19:24:25.0,2018-10-05 19:28:17.0,232,MSOMCARC_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-10-22 20:47:15.0,2018-10-22 21:14:10.0,1615,MSOMCARC_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-10-25 19:21:09.0,2018-10-25 19:45:36.0,1467,MSOMCARC_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-10-27 04:56:42.0,2018-10-27 08:38:38.0,13316,MSOMCARC_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-10-29 19:05:41.0,2018-10-29 19:55:37.0,2996,MSOMCARC_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-10-29 20:01:36.0,2018-10-29 20:47:02.0,2726,MSOMCARC_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-10-29 20:55:02.0,2018-10-29 21:08:36.0,814,MSOMCARC_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-10-30 12:29:35.0,2018-10-30 13:31:02.0,3687,MSOMCARC_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-10-30 18:38:02.0,2018-10-30 18:44:09.0,367,MSOMCARC_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-10-31 10:52:02.0,2018-10-31 10:55:29.0,207,MSOMCARC_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-11-01 12:39:02.0,2018-11-01 12:41:46.0,164,MSOMCARC_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-11-01 12:41:46.0,2018-11-01 12:52:52.0,666,MSOMCARC_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-11-01 13:52:02.0,2018-11-01 13:55:44.0,222,MSOMCARC_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-11-01 21:15:02.0,2018-11-01 21:17:38.0,156,MSOMCARC_SWL3,ifOperStatus[Trunk Port ID 0003],
