dh_inicio,dh_termino,delta_tempo,Equipamento,Trunk,item_key
2018-10-02 22:39:28.0,2018-10-02 22:41:58.0,150,PROMGUA_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-05 19:25:11.0,2018-10-05 19:28:02.0,171,PROMGUA_SWL3_proxy05,Trunk321,
2018-10-07 19:19:36.0,2018-10-08 03:46:23.0,30407,PROMGUA_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-08 04:17:18.0,2018-10-08 04:19:52.0,154,PROMGUA_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-10 01:39:41.0,2018-10-10 01:49:11.0,570,PROMGUA_SWL3_proxy05,Trunk321,
2018-10-12 14:05:23.0,2018-10-12 14:07:53.0,150,PROMGUA_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-12 14:09:23.0,2018-10-12 14:13:23.0,240,PROMGUA_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-12 14:39:46.0,2018-10-12 14:42:53.0,187,PROMGUA_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-12 14:49:23.0,2018-10-12 14:52:27.0,184,PROMGUA_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-12 14:59:23.0,2018-10-12 15:03:02.0,219,PROMGUA_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-12 15:06:23.0,2018-10-12 15:09:24.0,181,PROMGUA_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-19 23:59:45.0,2018-10-20 00:02:41.0,176,PROMGUA_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-20 00:49:49.0,2018-10-20 00:53:18.0,209,PROMGUA_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-20 03:13:40.0,2018-10-20 03:16:19.0,159,PROMGUA_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-20 03:28:40.0,2018-10-20 03:31:40.0,180,PROMGUA_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-20 05:28:40.0,2018-10-20 05:31:40.0,180,PROMGUA_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-20 05:43:40.0,2018-10-20 05:46:43.0,183,PROMGUA_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-20 06:28:40.0,2018-10-20 06:31:18.0,158,PROMGUA_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-20 06:43:40.0,2018-10-20 06:46:18.0,158,PROMGUA_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-20 09:42:40.0,2018-10-20 09:45:28.0,168,PROMGUA_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-20 11:34:41.0,2018-10-20 11:37:28.0,167,PROMGUA_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-20 12:08:40.0,2018-10-20 12:11:29.0,169,PROMGUA_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-20 13:09:40.0,2018-10-20 13:12:21.0,161,PROMGUA_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-20 13:46:54.0,2018-10-20 13:49:24.0,150,PROMGUA_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-20 22:49:56.0,2018-10-20 22:53:21.0,205,PROMGUA_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-22 20:47:31.0,2018-10-22 21:13:58.0,1587,PROMGUA_SWL3_proxy05,Trunk321,
2018-10-30 12:29:42.0,2018-10-30 13:30:31.0,3649,PROMGUA_SWL3_proxy05,Trunk321,
