dh_inicio,dh_termino,delta_tempo,Equipamento,Trunk,item_key
2018-10-01 04:05:27.0,2018-10-01 04:08:24.0,177,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-02 20:46:26.0,2018-10-02 20:50:06.0,220,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-02 21:25:35.0,2018-10-02 21:29:23.0,228,MSOMIGT_SWL3_proxy05,Trunk321,
2018-10-02 22:36:27.0,2018-10-02 22:39:27.0,180,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-02 22:45:35.0,2018-10-02 22:49:23.0,228,MSOMIGT_SWL3_proxy05,Trunk321,
2018-10-05 19:25:29.0,2018-10-05 19:28:50.0,201,MSOMIGT_SWL3_proxy05,Trunk321,
2018-10-07 19:19:54.0,2018-10-08 03:46:44.0,30410,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-08 04:25:29.0,2018-10-08 04:28:37.0,188,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-08 06:26:09.0,2018-10-08 06:28:49.0,160,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-10 01:39:59.0,2018-10-10 01:49:29.0,570,MSOMIGT_SWL3_proxy05,Trunk321,
2018-10-12 14:00:48.0,2018-10-12 14:04:28.0,220,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-12 14:04:28.0,2018-10-12 14:07:15.0,167,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-12 14:08:51.0,2018-10-12 14:12:39.0,228,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-12 14:39:39.0,2018-10-12 14:42:15.0,156,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-12 14:46:08.0,2018-10-12 14:48:55.0,167,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-12 15:00:59.0,2018-10-12 15:03:43.0,164,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-12 15:05:50.0,2018-10-12 15:10:06.0,256,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-19 19:49:54.0,2018-10-19 19:52:26.0,152,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-19 19:56:03.0,2018-10-19 19:58:34.0,151,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-19 20:26:03.0,2018-10-19 20:31:42.0,339,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-19 20:36:35.0,2018-10-19 20:41:03.0,268,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-19 23:04:55.0,2018-10-19 23:07:48.0,173,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-19 23:07:55.0,2018-10-19 23:11:04.0,189,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-19 23:54:01.0,2018-10-19 23:56:59.0,178,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-20 00:09:10.0,2018-10-20 00:11:41.0,151,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-20 00:30:57.0,2018-10-20 00:34:32.0,215,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-20 02:50:58.0,2018-10-20 02:54:10.0,192,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-20 03:16:06.0,2018-10-20 03:19:02.0,176,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-20 05:30:56.0,2018-10-20 05:33:59.0,183,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-20 05:44:39.0,2018-10-20 05:48:43.0,244,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-20 06:26:14.0,2018-10-20 06:30:00.0,226,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-20 11:54:56.0,2018-10-20 11:57:36.0,160,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-20 13:51:57.0,2018-10-20 13:55:01.0,184,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-20 20:00:58.0,2018-10-20 20:03:53.0,175,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-20 22:10:56.0,2018-10-20 22:13:44.0,168,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-20 22:47:59.0,2018-10-20 22:51:09.0,190,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-22 20:47:25.0,2018-10-22 21:13:46.0,1581,MSOMIGT_SWL3_proxy05,Trunk321,
2018-10-30 12:29:59.0,2018-10-30 13:30:49.0,3650,MSOMIGT_SWL3_proxy05,Trunk321,
