dh_inicio,dh_termino,delta_tempo,Equipamento,Trunk,item_key
2018-10-01 04:03:04.0,2018-10-01 04:05:51.0,167,MSOMMNO_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-05 19:25:11.0,2018-10-05 19:28:02.0,171,MSOMMNO_SWL3_proxy05,Trunk321,
2018-10-07 19:19:36.0,2018-10-08 03:45:23.0,30347,MSOMMNO_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-08 03:45:23.0,2018-10-08 03:48:09.0,166,MSOMMNO_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-10 01:39:41.0,2018-10-10 01:49:11.0,570,MSOMMNO_SWL3_proxy05,Trunk321,
2018-10-12 14:11:21.0,2018-10-12 14:14:12.0,171,MSOMMNO_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-12 14:44:19.0,2018-10-12 14:47:19.0,180,MSOMMNO_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-19 19:50:35.0,2018-10-19 19:53:22.0,167,MSOMMNO_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-19 20:39:35.0,2018-10-19 20:42:13.0,158,MSOMMNO_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-19 23:48:35.0,2018-10-19 23:51:14.0,159,MSOMMNO_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-20 00:03:43.0,2018-10-20 00:06:14.0,151,MSOMMNO_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-20 00:09:22.0,2018-10-20 00:12:22.0,180,MSOMMNO_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-20 00:49:15.0,2018-10-20 00:51:51.0,156,MSOMMNO_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-20 05:39:37.0,2018-10-20 05:42:36.0,179,MSOMMNO_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-20 06:37:38.0,2018-10-20 06:40:28.0,170,MSOMMNO_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-20 07:50:36.0,2018-10-20 07:53:46.0,190,MSOMMNO_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-20 08:28:37.0,2018-10-20 08:31:38.0,181,MSOMMNO_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-20 09:29:36.0,2018-10-20 09:32:15.0,159,MSOMMNO_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-20 09:43:36.0,2018-10-20 09:46:24.0,168,MSOMMNO_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-20 13:08:36.0,2018-10-20 13:11:37.0,181,MSOMMNO_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-20 13:32:37.0,2018-10-20 13:35:23.0,166,MSOMMNO_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-20 13:38:44.0,2018-10-20 13:41:15.0,151,MSOMMNO_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-20 13:49:41.0,2018-10-20 13:52:36.0,175,MSOMMNO_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-20 21:58:45.0,2018-10-20 22:01:25.0,160,MSOMMNO_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-22 20:47:31.0,2018-10-22 21:13:58.0,1587,MSOMMNO_SWL3_proxy05,Trunk321,
2018-10-30 12:29:39.0,2018-10-30 13:30:31.0,3652,MSOMMNO_SWL3_proxy05,Trunk321,
