dh_inicio,dh_termino,delta_tempo,Equipamento,Trunk,item_key
2018-10-05 16:21:27.0,2018-10-05 20:10:18.0,13731,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-10-08 13:58:24.0,2018-10-08 14:05:34.0,430,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-10-08 14:07:24.0,2018-10-08 14:13:57.0,393,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-10-08 16:50:24.0,2018-10-08 16:57:34.0,430,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-10-17 14:33:44.0,2018-10-17 14:37:30.0,226,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-10-18 16:59:47.0,2018-10-18 17:03:44.0,237,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-10-22 20:47:19.0,2018-10-22 21:14:15.0,1616,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-10-26 16:34:13.0,2018-10-26 16:37:13.0,180,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-10-26 19:51:13.0,2018-10-26 23:07:19.0,11766,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-10-27 13:41:20.0,2018-10-27 13:47:30.0,370,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-10-29 19:03:33.0,2018-10-29 19:06:30.0,177,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-10-29 22:39:04.0,2018-10-29 22:41:52.0,168,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-10-29 22:52:03.0,2018-10-29 22:55:07.0,184,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-10-29 22:57:04.0,2018-10-29 23:00:05.0,181,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-10-29 23:03:03.0,2018-10-29 23:08:36.0,333,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-10-30 12:29:03.0,2018-10-30 13:30:29.0,3686,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-11-01 15:32:29.0,2018-11-01 15:35:45.0,196,MSOMNOQ_SWL3,ifOperStatus[Trunk Port ID 0003],
