dh_inicio,dh_termino,delta_tempo,Equipamento,Trunk,item_key
2018-10-05 19:25:01.0,2018-10-05 19:29:22.0,261,MSRPTCU_SWL3_proxy05,Trunk323,
2018-10-07 19:19:56.0,2018-10-08 03:47:27.0,30451,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-10-10 01:40:01.0,2018-10-10 01:50:01.0,600,MSRPTCU_SWL3_proxy05,Trunk323,
2018-10-12 14:44:35.0,2018-10-12 14:47:22.0,167,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-10-12 15:07:06.0,2018-10-12 15:09:48.0,162,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-10-20 00:23:57.0,2018-10-20 00:26:38.0,161,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-10-20 00:35:02.0,2018-10-20 00:37:40.0,158,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-10-20 00:43:36.0,2018-10-20 00:46:10.0,154,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-10-20 02:52:00.0,2018-10-20 02:54:47.0,167,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-10-20 03:16:00.0,2018-10-20 03:18:40.0,160,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-10-20 07:46:53.0,2018-10-20 07:51:44.0,291,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-10-20 11:56:56.0,2018-10-20 11:59:53.0,177,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-10-20 22:02:53.0,2018-10-20 22:05:23.0,150,MSRPTCU_SWL3,ifOperStatus[Trunk Port ID 0003],
2018-10-22 20:47:21.0,2018-10-22 21:13:48.0,1587,MSRPTCU_SWL3_proxy05,Trunk323,
2018-10-30 12:29:54.0,2018-10-30 13:30:51.0,3657,MSRPTCU_SWL3_proxy05,Trunk323,
