dh_inicio,dh_termino,delta_tempo,Equipamento,Trunk,item_key
2018-10-01 04:15:16.0,2018-10-01 04:18:03.0,167,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-02 19:25:27.0,2018-10-02 19:28:06.0,159,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-02 20:43:18.0,2018-10-02 20:46:05.0,167,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-02 22:26:45.0,2018-10-02 22:29:27.0,162,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-02 22:34:18.0,2018-10-02 22:36:59.0,161,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-02 22:45:27.0,2018-10-02 22:48:01.0,154,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-05 19:25:15.0,2018-10-05 19:28:36.0,201,MSOMAMB_SWL3_proxy05,Trunk321,
2018-10-08 03:45:30.0,2018-10-08 03:48:21.0,171,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-12 14:06:48.0,2018-10-12 14:09:53.0,185,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-12 14:09:53.0,2018-10-12 14:12:45.0,172,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-12 14:39:51.0,2018-10-12 14:43:55.0,244,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-12 15:06:31.0,2018-10-12 15:10:21.0,230,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-19 18:25:46.0,2018-10-19 18:29:25.0,219,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-19 20:30:03.0,2018-10-19 20:32:57.0,174,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-19 21:11:47.0,2018-10-19 21:14:46.0,179,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-19 21:22:47.0,2018-10-19 21:25:44.0,177,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-19 21:26:35.0,2018-10-19 21:30:47.0,252,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-19 22:50:47.0,2018-10-19 22:53:31.0,164,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-19 22:53:47.0,2018-10-19 22:56:26.0,159,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-19 23:02:47.0,2018-10-19 23:05:26.0,159,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-19 23:05:47.0,2018-10-19 23:09:32.0,225,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-19 23:17:47.0,2018-10-19 23:20:27.0,160,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-20 00:07:26.0,2018-10-20 00:10:03.0,157,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-20 02:50:47.0,2018-10-20 02:55:34.0,287,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-20 03:05:47.0,2018-10-20 03:08:27.0,160,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-20 05:56:48.0,2018-10-20 05:59:48.0,180,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-20 06:15:48.0,2018-10-20 06:18:32.0,164,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-20 08:25:48.0,2018-10-20 08:28:27.0,159,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-20 09:35:50.0,2018-10-20 09:38:57.0,187,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-20 13:35:50.0,2018-10-20 13:38:27.0,157,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-20 20:05:50.0,2018-10-20 20:08:29.0,159,MSOMAMB_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-22 20:47:17.0,2018-10-22 21:13:32.0,1575,MSOMAMB_SWL3_proxy05,Trunk321,
2018-10-30 12:29:50.0,2018-10-30 13:30:35.0,3645,MSOMAMB_SWL3_proxy05,Trunk321,
