dh_inicio,dh_termino,delta_tempo,Equipamento,Trunk,item_key
2018-10-05 19:25:11.0,2018-10-05 19:28:02.0,171,PROMGUA_SWL3_proxy05,Trunk321,
2018-10-22 20:47:31.0,2018-10-22 21:13:58.0,1587,PROMGUA_SWL3_proxy05,Trunk321,
2018-10-29 19:03:13.0,2018-10-29 19:07:09.0,236,PROMGUA_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-29 20:55:10.0,2018-10-29 21:08:43.0,813,PROMGUA_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-29 21:48:43.0,2018-10-29 21:51:51.0,188,PROMGUA_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-30 12:29:42.0,2018-10-30 13:31:09.0,3687,PROMGUA_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-30 23:35:10.0,2018-10-30 23:37:56.0,166,PROMGUA_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-10-31 14:28:09.0,2018-10-31 14:33:30.0,321,PROMGUA_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-11-01 09:49:09.0,2018-11-01 09:54:03.0,294,PROMGUA_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-11-01 10:12:09.0,2018-11-01 10:16:52.0,283,PROMGUA_SWL3,ifOperStatus[Trunk Port ID 0001],
