dh_inicio,dh_termino,delta_tempo,Equipamento,Trunk,item_key
2018-10-05 19:25:13.0,2018-10-05 19:28:05.0,172,MSOMJRD_SWL3_proxy06,Trunk322,
2018-10-22 20:47:19.0,2018-10-22 21:13:45.0,1586,MSOMJRD_SWL3_proxy06,Trunk322,
2018-10-23 11:36:56.0,2018-10-23 11:39:34.0,158,MSOMJRD_SWL3_proxy06,Trunk322,
2018-10-23 11:56:14.0,2018-10-23 11:59:20.0,186,MSOMJRD_SWL3_proxy06,Trunk322,
2018-10-23 12:26:27.0,2018-10-23 12:30:20.0,233,MSOMJRD_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-10-23 12:32:46.0,2018-10-23 12:37:02.0,256,MSOMJRD_SWL3_proxy06,Trunk322,
2018-10-23 13:53:15.0,2018-10-23 13:56:02.0,167,MSOMJRD_SWL3_proxy06,Trunk322,
2018-10-23 14:31:16.0,2018-10-23 14:35:51.0,275,MSOMJRD_SWL3_proxy06,Trunk322,
2018-10-23 14:48:35.0,2018-10-23 14:51:58.0,203,MSOMJRD_SWL3_proxy06,Trunk322,
2018-10-23 14:51:58.0,2018-10-23 14:55:56.0,238,MSOMJRD_SWL3_proxy06,Trunk322,
2018-10-23 15:28:14.0,2018-10-23 15:31:58.0,224,MSOMJRD_SWL3_proxy06,Trunk322,
2018-10-23 15:34:17.0,2018-10-23 15:37:23.0,186,MSOMJRD_SWL3_proxy06,Trunk322,
2018-10-23 16:11:46.0,2018-10-23 16:14:43.0,177,MSOMJRD_SWL3_proxy06,Trunk322,
2018-10-23 16:28:15.0,2018-10-23 16:32:08.0,233,MSOMJRD_SWL3_proxy06,Trunk322,
2018-10-23 16:32:08.0,2018-10-23 16:40:32.0,504,MSOMJRD_SWL3_proxy06,Trunk322,
2018-10-23 17:01:26.0,2018-10-23 17:07:06.0,340,MSOMJRD_SWL3,ifOperStatus[Trunk Port ID 0002],
2018-10-23 17:11:16.0,2018-10-23 17:15:51.0,275,MSOMJRD_SWL3_proxy06,Trunk322,
2018-10-27 20:30:51.0,2018-10-27 20:35:05.0,254,MSOMJRD_SWL3_proxy06,Trunk322,
2018-10-30 12:29:54.0,2018-10-30 13:30:49.0,3655,MSOMJRD_SWL3_proxy06,Trunk322,
2018-11-01 15:32:20.0,2018-11-01 15:35:27.0,187,MSOMJRD_SWL3,ifOperStatus[Trunk Port ID 0002],
