dh_inicio,dh_termino,delta_tempo,Equipamento,Trunk,item_key
2019-05-09 16:12:33.0,2019-05-09 16:16:03.0,210,MSOMDOU_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-05-09 19:42:33.0,2019-05-09 19:45:33.0,180,MSOMDOU_SWL3_proxy04,Trunk321,
2019-05-10 02:20:33.0,2019-05-10 02:23:33.0,180,MSOMDOU_SWL3_proxy04,Trunk321,
2019-05-11 17:27:33.0,2019-05-11 17:30:03.0,150,MSOMDOU_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-05-14 19:35:33.0,2019-05-14 19:38:33.0,180,MSOMDOU_SWL3_proxy04,Trunk321,
2019-05-19 18:23:33.0,2019-05-19 18:26:33.0,180,MSOMDOU_SWL3_proxy04,Trunk321,
2019-05-22 12:17:33.0,2019-05-22 12:20:33.0,180,MSOMDOU_SWL3_proxy04,Trunk321,
2019-05-22 19:15:33.0,2019-05-22 19:18:33.0,180,MSOMDOU_SWL3_proxy04,Trunk321,
2019-05-24 21:31:30.0,2019-05-24 21:34:33.0,183,MSOMDOU_SWL3_proxy04,Trunk321,
2019-05-25 10:40:33.0,2019-05-25 10:44:33.0,240,MSOMDOU_SWL3_proxy04,Trunk321,
2019-05-30 05:41:08.0,2019-05-30 05:44:33.0,205,MSOMDOU_SWL3_proxy04,Trunk321,
2019-05-30 14:01:03.0,2019-05-30 14:03:33.0,150,MSOMDOU_SWL3_proxy04,Trunk321,
2019-05-30 15:11:03.0,2019-05-30 15:13:33.0,150,MSOMDOU_SWL3_proxy04,Trunk321,
2019-05-30 22:30:33.0,2019-05-30 22:34:33.0,240,MSOMDOU_SWL3_proxy04,Trunk321,
2019-05-31 11:30:33.0,2019-05-31 11:33:33.0,180,MSOMDOU_SWL3_proxy04,Trunk321,
