time_ini,time_end,duration_seg,duration_percent,OMCCL_nOK_0004,localidade_id_MSRPPPR_1749,chamados_MSRPPMT1,RPBNDxRPSGO_ativado,RPFGR_SColTempo_0001_delta_tempo,ref_2020_02_01,ref_Periodo,RPFDIxRPMPX_ativado,ref_2020_01_18,ref_2020_01_19,ref_2019_12_31,chamados_MSOMCGR,ref_2020_01_12,OMCCLxRPATJ_ativado,ref_2020_01_10,ref_2020_01_11,ref_2020_01_16,RPNAS_SColTempo_0002_delta_tempo,ref_2020_01_14,ref_2020_01_15,RPFSJ_SColTempo_0002_delta_tempo,RPAMB_nOK_0003,RPMPX_nOK_0003,RPMPX_nOK_0002,RPMRDxRPFGR_ativado,ref_2020_01_13,ref_2020_01_09,ref_2020_01_08,OMJRD_SColTempo_0001_delta_tempo,ref_2020_01_01,ref_2020_01_03,ref_2020_01_02,ref_2020_01_05,ref_2020_01_04,ref_2020_01_07,ref_2020_01_06,RPAMBxRPTCU_ativado,ref_2019_12,RPJRD_nOK_0002,chamados_MSRPPPR,RPNASxRPRBR_ativado,RPPPR_nOK_0002,localidade_id_MSRPPMT1_1749,RPPPR_nOK_0004,RPFSJxRPPMT_ativado,RPFSJ_nOK_0002,RPSGOxRPFMA_ativado,ref_2020_01_30,ref_2020_01_31,OMCARCxRPFSJ_ativado,localidade_id_MSOMCCL_1749,OMCGR_nOK_0001,OMJRDxRPJRD_ativado,OMCGRxRPCGR_ativado,RPPPRxOMCCL_ativado,RPFTBxRPFXS_ativado,OMJRD_SColTempo_0002_delta_tempo,RPDOUxOMDOU_ativado,RPMMAxOMCARC_ativado,RPMPXxRPMRD_ativado,RPTRNxRPFDI_ativado,RPNAS_SColTempo_0001_delta_tempo,RPFGRxRPFTB_ativado,ref_2020_01_23,chamados_MSRPCGR,ref_2020_01_21,ref_2020_01_20,ref_2020_01_27,RPPMT_SColTempo_0002_delta_tempo,ref_2020_01_25,Chamados_Desconto,ref_2020_01_29,ref_2020_01_28,OMBBR_SColTempo_0001_delta_tempo,RPAMOxRPAMB_ativado,RPPMT1xOMBBR_ativado,chamados_MSOMCCL,RPTCUxOMIGT_ativado,ref_2020_01_17,RPPPRxOMPPR_ativado,RPTCU_nOK_0001,OMMNOxOMGUA_ativado,RPNAS1xRPNAS_ativado,RPRBRxRPDOU_ativado,OMCGRxOMRCB_ativado,RPNVLxRPBND_ativado,RPMPXxRPSPE_ativado,RPCGRxRPNAS1_ativado,RPNOQxOMNOQ_ativado,RPFXS_SColTempo_0001_delta_tempo,RPMRD_SColTempo_0003_delta_tempo,RPFSJ_SColTempo_0001_delta_tempo,ref_2020_01_22,RPFMAxRPFSG_ativado,RPFSJxRPPMT1_ativado,ref_2020_01_26,ref_2020_01_24,RPRBR_nOK_0002,RPSPE_SColTempo_0001_delta_tempo,RPDOU_nOK_0001,RPAMO_nOK_0002,RPBND_nOK_0001,localidade_id_MSRPCGR_1749,OMDOUxRPPPR_ativado,RPAMBxOMAMB_ativado,OMIGTxOMMNO_ativado,RPFGR_SColTempo_0002_delta_tempo,RPFGR_nOK_0002,OMCGRxRPNVL_ativado,RPFSJ_nOK_0003,RPMMAxOMBLV_ativado,RPNVLxRPTRN_ativado,RPMRDxOMAQD_ativado,localidade_id_MSOMCGR_1749,RPSPE_SColTempo_0002_delta_tempo,RPJRDxRPMMA_ativado,RPNOQxOMJRD_ativado,RPPPRxRPAMO1_ativado,RPAMO1xRPAMO_ativado,RPATJxOMBLV_ativado,RPPMTxOMPMT_ativado,ref_2020_02,RPSPExRPNOQ_ativado,ref_2020_01
"2019-12-31 00:00:00","2019-12-31 01:34:03",5643.0,0.00197916736082, , , ,1, , ,1,1, , ,1, , ,1, , , , , , , , , , ,1, , , , , , , , , , , ,1,1, , ,1, , , ,1, ,1, , ,1, , ,1,1,1,1, ,1,1,1,1, ,1, , , , , , , , , , , ,1,1, ,1, ,1, ,1,1,1,1,1,1,1,1, , , , ,1,1, , , , , , , , ,1,1,1, , ,1, ,1,1,1, , ,1,1,1,1,1,1, ,1, 
"2019-12-31 01:34:03","2019-12-31 01:35:10",67.0,2.34988859073E-05, , , ,1, , ,1,1, , ,1, , ,1, , , ,251, , , , , , ,1, , , , , , , , , , , ,1,1, , ,1, , , ,1, ,1, , ,1, , ,1,1,1,1, ,1,1,1,1,251,1, , , , , , , , , , , ,1,1, ,1, ,1, ,1,1,1,1,1,1,1,1, , , , ,1,1, , , , , , , , ,1,1,1, , ,1, ,1,1,1, , ,1,1,1,1,1,1, ,1, 
"2019-12-31 01:35:10","2019-12-31 01:36:11",61.0,2.13945080649E-05, , , ,1, , ,1,1, , ,1, , ,1, , , ,251, , , , , , ,1, , , , , , , , , , , ,1,1, , ,1, , , ,1, ,1, , ,1, , ,1,1,1,1, ,1,1,1,1,251,1, , , , , , , , , , , ,1,1, ,1, ,1, ,1,1,1,1,1,1,1,1, , , , ,1,1, , ,1, , , , , ,1,1,1, , ,1, ,1,1,1, , ,1,1,1,1,1,1, ,1, 
"2019-12-31 01:36:11","2019-12-31 01:38:14",123.0,4.31397457701E-05, , , ,1, , ,1,1, , ,1, , ,1, , , ,251, , , , , , ,1, , , , , , , , , , , ,1,1, , ,1, , , ,1, ,1, , ,1, , ,1,1,1,1, ,1,1,1,1,251,1, , , , , , , , , , , ,1,1, ,1, ,1, ,1,1,1,1,1,1,1,1, , , , ,1,1, , , , , , , , ,1,1,1, , ,1, ,1,1,1, , ,1,1,1,1,1,1, ,1, 
"2019-12-31 01:38:14","2019-12-31 01:41:10",176.0,6.17284167117E-05, , , ,1, , ,1,1, , ,1, , ,1, , , , , , , , , , ,1, , , , , , , , , , , ,1,1, , ,1, , , ,1, ,1, , ,1, , ,1,1,1,1, ,1,1,1,1, ,1, , , , , , , , , , , ,1,1, ,1, ,1, ,1,1,1,1,1,1,1,1, , , , ,1,1, , , , , , , , ,1,1,1, , ,1, ,1,1,1, , ,1,1,1,1,1,1, ,1, 
"2019-12-31 01:41:10","2019-12-31 01:42:10",60.0,2.10437784244E-05, , , ,1, , ,1,1, , ,1, , ,1, , , , , , , , , , ,1, , , , , , , , , , , ,1,1, , ,1, , , ,1, ,1, , ,1, , ,1,1,1,1, ,1,1,1,1, ,1, , , , , , , , , , , ,1,1, ,1, ,1, ,1,1,1,1,1,1,1,1, , , , ,1,1, , ,1, , , , , ,1,1,1, , ,1, ,1,1,1, , ,1,1,1,1,1,1, ,1, 
"2019-12-31 01:42:10","2019-12-31 15:15:50",48820.0,0.0171226210447, , , ,1, , ,1,1, , ,1, , ,1, , , , , , , , , , ,1, , , , , , , , , , , ,1,1, , ,1, , , ,1, ,1, , ,1, , ,1,1,1,1, ,1,1,1,1, ,1, , , , , , , , , , , ,1,1, ,1, ,1, ,1,1,1,1,1,1,1,1, , , , ,1,1, , , , , , , , ,1,1,1, , ,1, ,1,1,1, , ,1,1,1,1,1,1, ,1, 
"2019-12-31 15:15:50","2019-12-31 15:16:50",60.0,2.10437784244E-05, , , ,1, , ,1,1, , ,1, , ,1, , , , , , , , ,1, ,1, , , , , , , , , , , ,1,1, , ,1, , , ,1, ,1, , ,1, , ,1,1,1,1, ,1,1,1,1, ,1, , , , , , , , , , , ,1,1, ,1, ,1, ,1,1,1,1,1,1,1,1, , , , ,1,1, , , , , , , , ,1,1,1, , ,1, ,1,1,1, , ,1,1,1,1,1,1, ,1, 
"2019-12-31 15:16:50","2019-12-31 17:14:50",7080.0,0.00248316585408, , , ,1, , ,1,1, , ,1, , ,1, , , , , , , , , , ,1, , , , , , , , , , , ,1,1, , ,1, , , ,1, ,1, , ,1, , ,1,1,1,1, ,1,1,1,1, ,1, , , , , , , , , , , ,1,1, ,1, ,1, ,1,1,1,1,1,1,1,1, , , , ,1,1, , , , , , , , ,1,1,1, , ,1, ,1,1,1, , ,1,1,1,1,1,1, ,1, 
"2019-12-31 17:14:50","2019-12-31 17:15:50",60.0,2.10437784244E-05, , , ,1, , ,1,1, , ,1, , ,1, , , , , , , , ,1, ,1, , , , , , , , , , , ,1,1, , ,1, , , ,1, ,1, , ,1, , ,1,1,1,1, ,1,1,1,1, ,1, , , , , , , , , , , ,1,1, ,1, ,1, ,1,1,1,1,1,1,1,1, , , , ,1,1, , , , , , , , ,1,1,1, , ,1, ,1,1,1, , ,1,1,1,1,1,1, ,1, 
