dh_inicio,dh_termino,delta_tempo,Equipamento,Trunk,item_key
2019-03-01 16:05:45.0,2019-03-04 11:18:33.0,241968,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-03-04 13:06:33.0,2019-03-04 14:00:33.0,3240,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-03-04 16:07:33.0,2019-03-04 16:20:33.0,780,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-03-06 18:58:33.0,2019-03-06 19:41:33.0,2580,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-03-11 16:08:33.0,2019-03-11 16:11:05.0,152,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-03-12 17:23:33.0,2019-03-12 17:26:33.0,180,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-03-13 15:29:33.0,2019-03-13 15:35:33.0,360,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-03-13 19:39:33.0,2019-03-13 19:43:33.0,240,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-03-21 14:44:33.0,2019-03-21 14:48:33.0,240,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-03-22 09:02:33.0,2019-03-22 09:06:33.0,240,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-03-25 16:49:33.0,2019-03-25 16:53:33.0,240,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-03-25 21:52:03.0,2019-03-25 21:54:33.0,150,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-03-28 19:36:03.0,2019-03-28 19:40:03.0,240,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-03-28 19:48:33.0,2019-03-28 19:51:33.0,180,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-03-28 20:08:33.0,2019-03-28 20:12:33.0,240,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-03-28 20:35:33.0,2019-03-28 20:38:33.0,180,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-03-29 02:41:33.0,2019-03-29 02:45:33.0,240,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
2019-03-30 23:45:03.0,2019-03-30 23:47:33.0,150,MSOMBLV_SWL3,ifOperStatus[Trunk Port ID 0001],
