dh_inicio,dh_termino,tempo_periodo,tempo_opersts_nOk,delta_value,is_periodo
2019-03-13 14:22:18.0,2019-03-13 14:24:19.0,121,,4,1
2019-03-13 18:10:19.0,2019-03-13 18:23:19.0,780,,4,1
2019-03-18 13:24:19.0,2019-03-18 13:27:18.0,179,,4,1
2019-03-18 13:30:18.0,2019-03-18 13:34:18.0,240,,4,1
2019-03-20 12:02:18.0,2019-03-20 12:04:18.0,120,,4,1
2019-03-22 09:01:18.0,2019-03-22 09:03:18.0,120,,4,1
2019-03-22 09:24:18.0,2019-03-22 09:26:19.0,121,,4,1
2019-03-22 09:47:18.0,2019-03-22 09:49:18.0,120,,4,1
2019-03-22 17:27:18.0,2019-03-25 16:50:18.0,256980,,4,1
2019-03-28 17:51:18.0,2019-03-28 17:54:18.0,180,,4,1
2019-03-29 02:40:18.0,2019-03-29 02:42:18.0,120,,4,1
2019-04-01 00:13:18.0,2019-04-01 00:15:18.0,120,,4,1
