dh_inicio,dh_termino,delta_tempo,Equipamento,Trunk,item_key
2019-03-18 13:24:59.0,2019-03-18 13:33:50.0,531,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0002],
2019-03-18 13:52:59.0,2019-03-18 14:12:50.0,1191,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0002],
2019-03-20 12:01:59.0,2019-03-20 12:06:50.0,291,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0002],
2019-03-20 12:19:59.0,2019-03-21 14:47:50.0,95271,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0002],
2019-03-22 09:00:59.0,2019-03-22 09:05:50.0,291,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0002],
2019-03-22 09:23:59.0,2019-03-22 09:28:50.0,291,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0002],
2019-03-22 09:46:59.0,2019-03-22 09:50:50.0,231,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0002],
2019-03-22 17:26:59.0,2019-03-25 16:52:50.0,257151,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0002],
2019-03-28 17:50:59.0,2019-03-28 19:16:50.0,5151,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0002],
2019-03-29 02:39:59.0,2019-03-29 02:45:50.0,351,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0002],
2019-04-01 00:12:59.0,2019-04-01 00:16:50.0,231,MSRPNAS1_SWL3,ifOperStatus[Trunk Port ID 0002],
