dh_inicio,dh_termino,tempo_periodo,tempo_opersts_nOk,delta_value,is_periodo
2019-02-05 16:55:43.0,2019-02-05 16:57:43.0,120,,4,1
2019-02-05 17:25:51.0,2019-02-05 17:35:43.0,592,,4,1
2019-02-05 17:37:43.0,2019-02-05 21:18:29.0,13246,,4,1
2019-02-05 22:03:43.0,2019-02-11 10:04:46.0,475263,,4,1
2019-02-14 04:33:43.0,2019-02-14 04:37:43.0,240,,4,1
2019-02-14 10:30:00.0,2019-02-14 10:32:43.0,163,,4,1
2019-02-14 15:18:43.0,2019-02-14 15:22:43.0,240,,4,1
2019-02-14 16:17:43.0,2019-02-14 16:19:43.0,120,,4,1
2019-02-15 02:45:43.0,2019-02-15 02:48:43.0,180,,4,1
2019-02-15 12:26:43.0,2019-02-15 12:33:43.0,420,,4,1
2019-02-15 13:31:43.0,2019-02-15 13:41:09.0,566,,4,1
2019-02-15 15:53:43.0,2019-02-18 12:11:42.0,249479,,4,1
2019-02-18 12:25:43.0,2019-02-27 13:46:38.0,782455,,4,1
