time_ini,time_end,duration_seg,duration_percent,OMCCL_nOK_0004,localidade_id_MSRPPPR_1749,RPBNDxRPSGO_ativado,ref_Periodo,RPFDIxRPMPX_ativado,RPMRD_SColTempo_0001_delta_tempo,OMCCLxRPATJ_ativado,chamados_MSRPJRD,ref_2020_03_09,ref_2020_03_08,ref_2020_03_07,ref_2020_03_06,ref_2020_03_05,ref_2020_03_04,ref_2020_03_03,ref_2020_03_02,ref_2020_03_01,RPMPX_nOK_0003,RPMPX_nOK_0002,RPFMA_SColTempo_0002_delta_tempo,RPMRDxRPFGR_ativado,OMPMT_SColTempo_0001_delta_tempo,chamados_MSOMJRD,localidade_id_MSOMJRD_1749,RPJRD_nOK_0002,localidade_id_MSRPJRD_1749,RPAMBxRPTCU_ativado,RPJRD_SColTempo_0002_delta_tempo,OMJRD_nOK_0002,chamados_MSRPPPR,RPMPX_SColTempo_0002_delta_tempo,RPNASxRPRBR_ativado,RPPPR_nOK_0002,RPPPR_nOK_0004,RPFSJxRPPMT_ativado,RPDOU_nOK_0001,RPSGOxRPFMA_ativado,RPJRD_SColTempo_0001_delta_tempo,OMCARCxRPFSJ_ativado,localidade_id_MSOMCCL_1749,OMCGR_nOK_0001,OMJRDxRPJRD_ativado,OMCGRxRPCGR_ativado,RPPPRxOMCCL_ativado,RPFTBxRPFXS_ativado,RPDOUxOMDOU_ativado,RPMMAxOMCARC_ativado,RPMPXxRPMRD_ativado,RPTRNxRPFDI_ativado,RPFGRxRPFTB_ativado,Chamados_Desconto,RPBND_SColTempo_0003_delta_tempo,RPAMOxRPAMB_ativado,RPPMT1xOMBBR_ativado,chamados_MSOMCCL,ref_2020_03_30,ref_2020_03_31,RPTCUxOMIGT_ativado,RPPPRxOMPPR_ativado,OMMNOxOMGUA_ativado,RPNAS1xRPNAS_ativado,RPRBRxRPDOU_ativado,OMCGRxOMRCB_ativado,RPCGRxRPNAS1_ativado,RPNVLxRPBND_ativado,RPNOQxOMNOQ_ativado,RPMRD_SColTempo_0003_delta_tempo,ref_2020_03_25,ref_2020_03_24,ref_2020_03_27,ref_2020_03_26,ref_2020_03_21,ref_2020_03_20,ref_2020_03_23,ref_2020_03_22,RPMMA_nOK_0001,RPFMA_SColTempo_0001_delta_tempo,ref_2020_03_28,RPBND_SColTempo_0001_delta_tempo,RPFMAxRPFSG_ativado,RPFSJxRPPMT1_ativado,RPRBR_nOK_0002,RPRBR_nOK_0001,ref_2020_03_10,ref_2020_03_11,ref_2020_03_12,ref_2020_03_13,ref_2020_03_14,ref_2020_03_15,ref_2020_03_16,ref_2020_03_17,ref_2020_03_18,ref_2020_03_19,RPAMO_nOK_0002,RPNVL_SColTempo_0003_delta_tempo,ref_2020_02_29,RPFDI_nOK_0001,RPMPX_SColTempo_0003_delta_tempo,OMDOUxRPPPR_ativado,RPAMBxOMAMB_ativado,OMPPR_SColTempo_0002_delta_tempo,OMIGTxOMMNO_ativado,OMDOU_nOK_0001,RPMPX_SColTempo_0001_delta_tempo,OMCGRxRPNVL_ativado,RPMRD_SColTempo_0002_delta_tempo,RPMMAxOMBLV_ativado,ref_2020_03_29,RPNVLxRPTRN_ativado,RPMRDxOMAQD_ativado,RPMPXxRPSPE_ativado,RPJRDxRPMMA_ativado,RPNVL_SColTempo_0001_delta_tempo,RPNOQxOMJRD_ativado,RPNOQ_nOK_0002,RPPPRxRPAMO1_ativado,RPAMO1xRPAMO_ativado,RPATJxOMBLV_ativado,RPNVL_SColTempo_0002_delta_tempo,ref_2020_04_01,RPPMTxOMPMT_ativado,ref_2020_02,ref_2020_03,RPSPExRPNOQ_ativado,OMNOQ_SColTempo_0003_delta_tempo,ref_2020_04
"2018-10-17 18:09:48","2018-10-17 19:05:35",3347.0,7.2783320055E-05, , , , , , , , , , , , , , , , , , , , , , ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
"2020-02-29 00:00:00","2020-02-29 23:59:59",86399.0,0.0018788186643, , ,1,1,1, ,1, , , , , , , , , , , , , ,1, , , , , ,1, , , , ,1, , ,1, ,1, ,1, , ,1,1,1,1,1,1,1,1,1, , ,1,1, , , ,1,1,1,1,1,1,1,1,1, , , , , , , , , , , , , ,1,1, , , , , , , , , , , , , , ,1, , ,1,1, ,1, , ,1, ,1, ,1,1,1,1, ,1, ,1,1,1, , ,1,1, ,1, , 
"2020-02-29 23:59:59","2020-03-01 00:00:00",1.0,2.17458380804E-08, , ,1,1,1, ,1, , , , , , , , , , , , , ,1, , , , , ,1, , , , ,1, , ,1, ,1, ,1, , ,1,1,1,1,1,1,1,1,1, , ,1,1, , , ,1,1,1,1,1,1,1,1,1, , , , , , , , , , , , , ,1,1, , , , , , , , , , , , , , , , , ,1,1, ,1, , ,1, ,1, ,1,1,1,1, ,1, ,1,1,1, , ,1, , ,1, , 
"2020-03-01 00:00:00","2020-03-01 18:09:48",65388.0,0.0014219168604, , ,1,1,1, ,1, , , , , , , , , ,1, , , ,1, , , , , ,1, , , , ,1, , ,1, ,1, ,1, , ,1,1,1,1,1,1,1,1,1, , ,1,1, , , ,1,1,1,1,1,1,1,1,1, , , , , , , , , , , , , ,1,1, , , , , , , , , , , , , , , , , ,1,1, ,1, , ,1, ,1, ,1,1,1,1, ,1, ,1,1,1, , ,1, ,1,1, , 
"2020-03-01 18:09:48","2020-03-01 23:59:59",21011.0,0.000456901803906, ,1,1,1,1, ,1,1, , , , , , , , ,1, , , ,1, ,1,1, ,1,1, , ,1, ,1, , ,1, ,1, ,1,1, ,1,1,1,1,1,1,1,1,1,1, ,1,1,1, , ,1,1,1,1,1,1,1,1,1, , , , , , , , , , , , , ,1,1, , , , , , , , , , , , , , , , , ,1,1, ,1, , ,1, ,1, ,1,1,1,1, ,1, ,1,1,1, , ,1, ,1,1, , 
"2020-03-01 23:59:59","2020-03-02 00:00:00",1.0,2.17458380804E-08, ,1,1,1,1, ,1,1, , , , , , , , , , , , ,1, ,1,1, ,1,1, , ,1, ,1, , ,1, ,1, ,1,1, ,1,1,1,1,1,1,1,1,1,1, ,1,1,1, , ,1,1,1,1,1,1,1,1,1, , , , , , , , , , , , , ,1,1, , , , , , , , , , , , , , , , , ,1,1, ,1, , ,1, ,1, ,1,1,1,1, ,1, ,1,1,1, , ,1, ,1,1, , 
"2020-03-02 00:00:00","2020-03-02 23:59:59",86399.0,0.0018788186643, ,1,1,1,1, ,1,1, , , , , , , ,1, , , , ,1, ,1,1, ,1,1, , ,1, ,1, , ,1, ,1, ,1,1, ,1,1,1,1,1,1,1,1,1,1, ,1,1,1, , ,1,1,1,1,1,1,1,1,1, , , , , , , , , , , , , ,1,1, , , , , , , , , , , , , , , , , ,1,1, ,1, , ,1, ,1, ,1,1,1,1, ,1, ,1,1,1, , ,1, ,1,1, , 
"2020-03-02 23:59:59","2020-03-03 00:00:00",1.0,2.17458380804E-08, ,1,1,1,1, ,1,1, , , , , , , , , , , , ,1, ,1,1, ,1,1, , ,1, ,1, , ,1, ,1, ,1,1, ,1,1,1,1,1,1,1,1,1,1, ,1,1,1, , ,1,1,1,1,1,1,1,1,1, , , , , , , , , , , , , ,1,1, , , , , , , , , , , , , , , , , ,1,1, ,1, , ,1, ,1, ,1,1,1,1, ,1, ,1,1,1, , ,1, ,1,1, , 
"2020-03-03 00:00:00","2020-03-03 23:59:59",86399.0,0.0018788186643, ,1,1,1,1, ,1,1, , , , , , ,1, , , , , ,1, ,1,1, ,1,1, , ,1, ,1, , ,1, ,1, ,1,1, ,1,1,1,1,1,1,1,1,1,1, ,1,1,1, , ,1,1,1,1,1,1,1,1,1, , , , , , , , , , , , , ,1,1, , , , , , , , , , , , , , , , , ,1,1, ,1, , ,1, ,1, ,1,1,1,1, ,1, ,1,1,1, , ,1, ,1,1, , 
"2020-03-03 23:59:59","2020-03-04 00:00:00",1.0,2.17458380804E-08, ,1,1,1,1, ,1,1, , , , , , , , , , , , ,1, ,1,1, ,1,1, , ,1, ,1, , ,1, ,1, ,1,1, ,1,1,1,1,1,1,1,1,1,1, ,1,1,1, , ,1,1,1,1,1,1,1,1,1, , , , , , , , , , , , , ,1,1, , , , , , , , , , , , , , , , , ,1,1, ,1, , ,1, ,1, ,1,1,1,1, ,1, ,1,1,1, , ,1, ,1,1, , 
