dh_inicio,dh_termino,tempo_periodo,tempo_opersts_nOk,delta_value,is_periodo
2020-02-04 18:51:50.0,2020-02-04 18:52:50.0,60,,4,1
2020-02-04 19:14:50.0,2020-02-04 19:15:50.0,60,,4,1
2020-02-05 22:57:50.0,2020-02-05 22:58:50.0,60,,4,1
2020-02-08 19:51:50.0,2020-02-08 19:52:50.0,60,,4,1
2020-02-20 16:46:50.0,2020-02-20 17:04:50.0,1080,,4,1
2020-02-20 22:33:50.0,2020-02-20 22:34:50.0,60,,4,1
2020-02-21 18:04:50.0,2020-02-21 18:05:50.0,60,,4,1
2020-02-21 19:10:50.0,2020-02-21 19:11:50.0,60,,4,1
2020-02-24 06:01:50.0,2020-02-24 06:03:20.0,90,,4,1
2020-02-24 06:15:50.0,2020-02-24 06:16:50.0,60,,4,1
2020-02-24 06:53:50.0,2020-02-24 06:55:50.0,120,,4,1
2020-02-24 07:32:50.0,2020-02-24 07:33:50.0,60,,4,1
2020-02-24 07:39:50.0,2020-02-24 07:40:51.0,61,,4,1
2020-02-25 01:54:50.0,2020-02-25 01:55:50.0,60,,4,1
2020-02-25 03:58:50.0,2020-02-25 03:59:50.0,60,,4,1
2020-02-25 04:14:50.0,2020-02-25 04:15:50.0,60,,4,1
2020-02-25 04:59:50.0,2020-02-25 05:00:50.0,60,,4,1
2020-02-26 02:36:50.0,2020-02-26 02:37:50.0,60,,4,1
