dh_inicio,dh_termino,tempo_periodo,tempo_opersts_nOk,delta_value,is_periodo
2020-04-01 22:06:06.0,2020-04-01 22:07:05.0,59,,4,1
2020-04-01 22:09:05.0,2020-04-01 22:10:05.0,60,,4,1
2020-04-05 05:06:05.0,2020-04-05 05:07:05.0,60,,4,1
2020-04-11 21:14:05.0,2020-04-11 21:15:05.0,60,,4,1
2020-04-12 00:19:05.0,2020-04-12 00:20:35.0,90,,4,1
2020-04-12 00:22:05.0,2020-04-12 00:24:35.0,150,,4,1
2020-04-17 07:35:05.0,2020-04-17 07:36:05.0,60,,4,1
2020-04-17 07:56:05.0,2020-04-17 07:58:05.0,120,,4,1
2020-04-17 07:59:05.0,2020-04-17 08:00:05.0,60,,4,1
2020-04-17 08:18:06.0,2020-04-17 08:19:05.0,59,,4,1
2020-04-17 22:45:05.0,2020-04-17 22:46:05.0,60,,4,1
2020-04-19 00:38:05.0,2020-04-19 00:39:35.0,90,,4,1
