dh_inicio,dh_termino,tempo_periodo,tempo_opersts_nOk,delta_value,is_periodo
2020-03-31 03:28:18.0,2020-03-31 03:29:19.0,61,,4,1
2020-03-31 03:34:18.0,2020-03-31 03:35:18.0,60,,4,1
2020-03-31 23:53:18.0,2020-03-31 23:54:18.0,60,,4,1
2020-04-01 00:00:18.0,2020-04-01 00:01:18.0,60,,4,1
2020-04-02 07:26:18.0,2020-04-02 07:27:18.0,60,,4,1
2020-04-02 07:40:18.0,2020-04-02 07:41:18.0,60,,4,1
2020-04-02 07:42:18.0,2020-04-02 07:43:18.0,60,,4,1
2020-04-02 07:57:18.0,2020-04-02 07:58:18.0,60,,4,1
2020-04-06 22:55:18.0,2020-04-06 22:57:18.0,120,,4,1
2020-04-09 08:10:18.0,2020-04-09 08:11:18.0,60,,4,1
2020-04-09 08:28:18.0,2020-04-09 08:29:18.0,60,,4,1
2020-04-09 08:30:18.0,2020-04-09 08:31:18.0,60,,4,1
2020-04-10 00:28:18.0,2020-04-10 00:29:18.0,60,,4,1
2020-04-11 03:51:18.0,2020-04-11 03:52:18.0,60,,4,1
2020-04-12 05:52:18.0,2020-04-12 05:55:18.0,180,,4,1
2020-04-12 05:58:18.0,2020-04-12 05:59:18.0,60,,4,1
2020-04-12 06:01:18.0,2020-04-12 06:02:18.0,60,,4,1
2020-04-12 06:07:18.0,2020-04-12 06:09:18.0,120,,4,1
2020-04-12 06:11:18.0,2020-04-12 06:12:18.0,60,,4,1
2020-04-14 09:40:18.0,2020-04-14 14:08:18.0,16080,,4,1
2020-04-19 07:52:18.0,2020-04-19 08:49:18.0,3420,,4,1
2020-04-23 06:54:18.0,2020-04-23 06:55:18.0,60,,4,1
