dh_inicio,dh_termino,tempo_periodo,tempo_opersts_nOk,delta_value,is_periodo
2020-03-31 01:06:50.0,2020-03-31 01:07:50.0,60,,4,1
2020-04-02 07:22:50.0,2020-04-02 07:23:50.0,60,,4,1
2020-04-02 07:26:50.0,2020-04-02 07:27:50.0,60,,4,1
2020-04-02 07:52:50.0,2020-04-02 07:53:51.0,61,,4,1
2020-04-06 22:55:50.0,2020-04-06 22:56:50.0,60,,4,1
2020-04-09 08:33:51.0,2020-04-09 08:34:50.0,59,,4,1
2020-04-12 00:23:51.0,2020-04-12 00:24:50.0,59,,4,1
2020-04-12 05:51:50.0,2020-04-12 05:52:50.0,60,,4,1
2020-04-12 06:03:51.0,2020-04-12 06:04:50.0,59,,4,1
2020-04-12 06:07:50.0,2020-04-12 06:11:51.0,241,,4,1
2020-04-14 15:01:50.0,2020-04-14 20:02:50.0,18060,,4,1
2020-04-16 07:41:50.0,2020-04-16 07:42:50.0,60,,4,1
2020-04-21 02:49:50.0,2020-04-21 02:50:51.0,61,,4,1
