dh_inicio,dh_termino,tempo_periodo,tempo_opersts_nOk,delta_value,is_periodo
2020-04-12 04:45:11.0,2020-04-12 04:46:04.0,53,,4,1
2020-04-13 20:45:53.0,2020-04-13 20:47:24.0,91,,4,1
2020-04-13 20:48:04.0,2020-04-13 20:50:04.0,120,,4,1
2020-04-13 20:51:04.0,2020-04-13 20:53:04.0,120,,4,1
2020-04-13 20:54:04.0,2020-04-13 20:55:16.0,72,,4,1
2020-04-13 21:01:04.0,2020-04-13 21:02:04.0,60,,4,1
2020-04-15 12:14:04.0,2020-04-15 12:19:04.0,300,,4,1
2020-04-18 02:51:04.0,2020-04-18 02:52:04.0,60,,4,1
2020-04-18 02:54:27.0,2020-04-18 02:55:05.0,38,,4,1
2020-04-18 02:56:04.0,2020-04-18 02:57:05.0,61,,4,1
2020-04-18 03:37:05.0,2020-04-18 03:38:05.0,60,,4,1
