t_ini,t_fim,TempoSemColeta,delta_tempo,Equipamento,Trunk
2018-01-19 01:59:13.0,2018-01-19 02:16:20.0,967,1027,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0001]
2018-01-18 01:11:13.0,2018-01-18 01:13:46.0,93,153,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0001]
2018-01-18 02:00:13.0,2018-01-18 02:17:18.0,965,1025,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0001]
2018-01-19 01:59:13.0,2018-01-19 02:16:20.0,967,1027,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0001]
2018-01-16 01:59:13.0,2018-01-16 02:16:14.0,961,1021,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0001]
2018-01-17 01:59:13.0,2018-01-17 02:16:16.0,963,1023,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0001]
2018-01-18 01:11:13.0,2018-01-18 01:13:46.0,93,153,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0001]
2018-01-18 02:00:13.0,2018-01-18 02:17:18.0,965,1025,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0001]
2018-01-19 01:59:13.0,2018-01-19 02:16:20.0,967,1027,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0001]
2018-01-15 02:00:13.0,2018-01-15 02:17:11.0,958,1018,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0001]
2018-01-16 01:59:13.0,2018-01-16 02:16:14.0,961,1021,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0001]
2018-01-17 01:59:13.0,2018-01-17 02:16:16.0,963,1023,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0001]
2018-01-18 01:11:13.0,2018-01-18 01:13:46.0,93,153,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0001]
2018-01-18 02:00:13.0,2018-01-18 02:17:18.0,965,1025,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0001]
2018-01-19 01:59:13.0,2018-01-19 02:16:20.0,967,1027,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0001]
2018-01-13 02:00:13.0,2018-01-13 02:17:07.0,954,1014,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0001]
2018-01-14 02:00:13.0,2018-01-14 02:17:09.0,956,1016,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0001]
2018-01-15 02:00:13.0,2018-01-15 02:17:11.0,958,1018,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0001]
2018-01-16 01:59:13.0,2018-01-16 02:16:14.0,961,1021,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0001]
2018-01-17 01:59:13.0,2018-01-17 02:16:16.0,963,1023,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0001]
2018-01-18 01:11:13.0,2018-01-18 01:13:46.0,93,153,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0001]
2018-01-18 02:00:13.0,2018-01-18 02:17:18.0,965,1025,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0001]
2018-01-19 01:59:13.0,2018-01-19 02:16:20.0,967,1027,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0001]
2018-01-12 02:00:13.0,2018-01-12 02:17:05.0,952,1012,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0001]
2018-01-13 02:00:13.0,2018-01-13 02:17:07.0,954,1014,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0001]
2018-01-14 02:00:13.0,2018-01-14 02:17:09.0,956,1016,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0001]
2018-01-15 02:00:13.0,2018-01-15 02:17:11.0,958,1018,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0001]
2018-01-16 01:59:13.0,2018-01-16 02:16:14.0,961,1021,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0001]
2018-01-17 01:59:13.0,2018-01-17 02:16:16.0,963,1023,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0001]
2018-01-18 01:11:13.0,2018-01-18 01:13:46.0,93,153,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0001]
2018-01-18 02:00:13.0,2018-01-18 02:17:18.0,965,1025,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0001]
2018-01-19 01:59:13.0,2018-01-19 02:16:20.0,967,1027,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0001]
2018-01-10 00:59:12.0,2018-01-10 01:16:01.0,949,1009,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0001]
2018-01-10 09:46:14.0,2018-01-10 09:48:44.0,90,150,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0001]
2018-01-11 01:00:13.0,2018-01-11 01:17:03.0,950,1010,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0001]
2018-01-12 02:00:13.0,2018-01-12 02:17:05.0,952,1012,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0001]
2018-01-13 02:00:13.0,2018-01-13 02:17:07.0,954,1014,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0001]
2018-01-14 02:00:13.0,2018-01-14 02:17:09.0,956,1016,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0001]
2018-01-15 02:00:13.0,2018-01-15 02:17:11.0,958,1018,MSOMIGT_SWL3,ifOperStatus[Trunk Port ID 0001]
